rule_id,n,rule_mean_ret,tod_matched_mean_ret,excess_over_tod,pct_first_hour_fired,pct_first_hour_baseline
151,324,0.001435827060551462,0.00013965271692351945,0.0012961743436279427,0.2808641975308642,0.1609504132231405
121,211,0.0018940715027100142,0.00023797488523730038,0.001656096617472714,0.08530805687203792,0.1609504132231405
26,76,0.0034056174157723724,0.00022877484276311928,0.003176842573009253,0.07894736842105263,0.1609504132231405
0,722,0.0005336834055971233,0.0001046340570759367,0.00042904934852118666,0.13850415512465375,0.1609504132231405
140,133,0.0022536271885926374,0.00015245921963361148,0.002101167968959026,0.07518796992481203,0.1609504132231405
31,687,0.0005844240666100161,6.262333042942057e-05,0.0005218007361805954,0.29694323144104806,0.1609504132231405
182,160,0.0012437014540033404,0.00010319561145833429,0.0011405058425450062,0.08125,0.1609504132231405
211,51,0.0019443008875941628,0.00021889781735673537,0.0017254030702374273,0.1568627450980392,0.1609504132231405
231,184,0.0009304535975369379,0.00010676985273014566,0.0008236837448067923,0.3641304347826087,0.1609504132231405
181,176,0.0014688607365211028,0.00010914326661792936,0.0013597174699031735,0.30113636363636365,0.1609504132231405
