rule_id,year,n,mean_ret,hit_rate,t_stat
151,2020,0,,,
121,2020,0,,,
26,2020,0,,,
0,2020,436,0.0007214734738131551,0.6972477064220184,1.7823281289865542
140,2020,0,,,
31,2020,0,,,
182,2020,0,,,
211,2020,0,,,
231,2020,0,,,
181,2020,0,,,
151,2021,0,,,
121,2021,0,,,
26,2021,2,,,
0,2021,262,0.000424875401170135,0.5763358778625954,0.9061748980464502
140,2021,0,,,
31,2021,386,0.0009691541398851184,0.6606217616580311,1.1417306553423252
182,2021,0,,,
211,2021,0,,,
231,2021,0,,,
181,2021,0,,,
151,2022,200,0.0014124536455000175,0.655,2.380330086657014
121,2022,145,0.002524209391931194,0.7655172413793103,3.9857949617183333
26,2022,16,0.011369710158011491,0.8125,
0,2022,10,-0.002050622044270345,0.4,
140,2022,48,0.0059751627768348525,0.7708333333333334,3.5546059637194216
31,2022,92,0.00023270014214311606,0.5543478260869565,0.5230804614331579
182,2022,118,0.002020634583509436,0.8220338983050848,3.32044255692968
211,2022,25,5.98301960879688e-05,0.68,0.05485394735652465
231,2022,70,0.00168409437218624,0.7571428571428571,1.8025457581887319
181,2022,126,0.0014327787715702756,0.5873015873015873,1.5146112903780442
151,2023,124,0.0014735261170860498,0.7258064516129032,2.6382927049797997
121,2023,66,0.0005096776551786349,0.5303030303030303,0.9298935793135397
26,2023,58,0.0012856192226853571,0.6896551724137931,1.566628272369752
0,2023,14,-0.0014324393146631761,0.07142857142857142,
140,2023,85,0.00015205415052644506,0.611764705882353,0.33440549568086825
31,2023,209,2.8695802336165773e-05,0.5645933014354066,0.08715800948876014
182,2023,42,-0.0009391106717518813,0.2857142857142857,-1.3482942388949657
211,2023,26,0.0037562919371193493,1.0,9.392956983198822
231,2023,114,0.0004676917183663139,0.6578947368421053,1.678057208949982
181,2023,50,0.0015597872881971874,0.7,2.8444789917757247
151,2024,95,0.0009067507853409438,0.6631578947368421,1.5797495645449307
121,2024,84,-0.0009668269194493553,0.32142857142857145,-2.4891323042622835
26,2024,28,-0.001519917929213537,0.5,-1.3239871916743648
0,2024,20,0.0009844380185891565,0.7,1.6005317741646135
140,2024,61,0.0004054765569012066,0.47540983606557374,0.37691398365921847
31,2024,198,0.00034287589814334146,0.5555555555555556,0.7630640929892257
182,2024,1,,,
211,2024,0,,,
231,2024,181,-0.00041490043941212377,0.44751381215469616,-1.683460622545854
181,2024,0,,,
151,2025,142,-5.697784921363087e-05,0.4507042253521127,-0.13533035183898548
121,2025,39,0.0002190960959947917,0.3076923076923077,0.3869756866406488
26,2025,19,0.00043340448534469117,0.42105263157894735,
0,2025,1,,,
140,2025,65,0.0004434100751928695,0.6,0.6999356747437473
31,2025,101,0.00015186400140537352,0.5346534653465347,0.44370246524333795
182,2025,79,0.0001689874876899034,0.5189873417721519,0.3265479518324083
211,2025,26,-0.0019676662151798872,0.38461538461538464,-1.4940577063340719
231,2025,7,-3.5199070099047247e-05,0.42857142857142855,
181,2025,121,-0.00012825859911247956,0.5867768595041323,-0.14423917328292327
