,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
A_hist,0.043746914857142154,0.05186513709947776,0.04574193902612506,0.02040287339649749,0.036247141825644355
A_macd,0.010912340397496957,0.0035771523587823715,-0.005792092063242112,-0.018364410966727144,-0.01634885137624772
A_signal,-0.0012586507668950662,-0.009229452609776746,-0.016282493023009208,-0.023899232925208447,-0.032616195664582466
A_hist_slope,0.028373683065648032,0.03940758557216239,0.045246944902844415,0.030301989476461334,0.004285447745136821
B_gap,-0.010827761799224194,-0.024661644221274977,-0.03465644527552759,-0.044950891903514326,-0.061470522859350715
B_gap_norm,-0.009081892307545456,-0.022635747491808474,-0.031000323050433206,-0.0381276458381889,-0.0495806348191181
B_roc,0.018875513643547327,0.028565659487837514,0.041394082624741896,0.012464631121517921,-0.029388872696662603
B_zroc,0.012078639012555025,0.010632058688418667,0.009084738557554454,-0.03109880086110346,-0.06336326948049174
B_gap_acc,0.019040570769085146,0.01857932395290209,0.013550453178840727,-0.005177907542138827,0.010365207259645305
B_roc_slope,0.013359076361812558,0.012670559516272027,0.01321824333779311,0.017693191693757222,0.02332899369480491
