group,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
with_trend,-0.0008603896845519321,-0.0029694602434957584,-0.00880178472174642,-0.011969208981475243,-0.020900431713835377
counter_trend,-0.0010748088000592793,-0.0017602068769585477,0.004922356223206359,0.007251125498474398,0.009463059095152992
counter_trend,0.0021300246717592675,0.006694346534972473,0.005352350082332258,0.015479690839208748,0.012975165509137687
with_trend,-9.241160549589011e-05,0.0025877405989367386,-0.0011937493834380808,0.00010012861763919467,0.006962262170176814
with_trend,0.00023037935800962472,0.0011288588542466282,0.004461680233451171,0.0026647212409769416,0.005943779757333845
with_trend,3.81199252850184e-05,0.000495559028704351,-0.00130370906873023,-0.001608668471009822,-0.007715480501658267
counter_trend,0.0016872676189676472,0.004870927844496498,0.004618990540612655,0.004779319137890203,0.003328727067284598
with_trend,0.0013493306550231843,0.002812353149777458,0.0035628193541656916,0.0006140178035902721,0.006056800482548308
with_trend,0.0009438307518467859,0.0031637282308361048,0.003986748646446658,0.003601665699693113,0.005881960796154884
with_trend,0.00036029814671656446,0.0009983261148600597,-0.0008406956756715767,0.0027322609459328184,0.0021692950916885057
with_trend,0.0018890822075225966,0.002254950437958758,0.00024640851984947254,-0.0017920076592796708,-0.00020906009355070587
with_trend,-0.0004918107302532837,-0.0023547019374068334,0.004195223546944904,0.005096862891207143,0.009165424739195238
with_trend,0.0008020422561361151,0.0011139578923917703,0.0009877019048680769,0.0008391741858824187,0.004975678586016219
with_trend,0.001693774454330832,0.0005399294383916509,0.0009171529796376809,-0.0059171159976627585,-0.007137521172180694
counter_trend,0.0022155549442066658,0.0015389951342636987,0.0073009056035575615,0.007613156542654043,-0.0002825120463518793
with_trend,-0.00215885646920122,-0.0015399351606247835,-0.003485116416150791,-0.0030430297671676376,-0.0036619584438549735
with_trend,0.00048754903191960963,0.001277962045046488,0.0013592276041396456,-0.005695459145607318,-0.0006205169497159879
counter_trend,-2.959389795720302e-05,0.0009544106075953795,0.0009174182351487925,0.004091363791062452,0.00935167915296109
