state,horizon,mean,count,t_stat,p_val_raw,p_val_adj
bear_accel,ret_fwd_1,1.3723205556492575e-05,35970,2.0195985877932303,0.043425041765148845,0.10776510278253897
bear_accel,ret_fwd_3,4.543232965910345e-05,35968,2.465153987056009,0.013695437987281733,0.10776510278253897
bear_accel,ret_fwd_6,7.12028587168919e-05,35968,2.3606224040898525,0.018244296365310466,0.10776510278253897
bear_accel,ret_fwd_12,9.572437381853345e-05,35963,1.9730111127928793,0.048494296252142535,0.10776510278253897
bear_accel,ret_fwd_24,0.0002562254211017281,35955,3.101427187108674,0.0019259023027131765,0.03851804605426353
bear_decel,ret_fwd_1,-5.940065869469985e-06,15392,-0.6649428010488343,0.5060870785289939,0.595396562975287
bear_decel,ret_fwd_3,-1.9734249470531873e-05,15392,-0.8957976910481811,0.3703608232998814,0.4938144310665085
bear_decel,ret_fwd_6,1.4560353415239292e-07,15389,0.0038763585544888167,0.9969071211029191,0.9969071211029191
bear_decel,ret_fwd_12,5.073293046457172e-05,15388,0.8066539168179561,0.4198659011129465,0.5248323763911831
bear_decel,ret_fwd_24,0.00022257332389267556,15384,2.1605170987977864,0.030732661379474807,0.10776510278253897
bull_accel,ret_fwd_1,1.324268609543352e-06,14244,0.08675525113750696,0.9308660578709888,0.9798590082852514
bull_accel,ret_fwd_3,1.0419364701163725e-05,14244,0.2727389263049883,0.7850539098020375,0.8722821220022638
bull_accel,ret_fwd_6,5.091337348434832e-05,14244,1.0330496927531962,0.3015806441829566,0.430829491689938
bull_accel,ret_fwd_12,0.00014305528289695017,14244,2.0273705941687203,0.04262452688447715,0.10776510278253897
bull_accel,ret_fwd_24,0.00019631320705002143,14244,1.7846828263519905,0.07431277810730408,0.14862555621460816
bull_decel,ret_fwd_1,1.4368179117175007e-05,26805,1.9760033915469952,0.04815439308124473,0.10776510278253897
bull_decel,ret_fwd_3,3.310297261008701e-05,26805,1.5724178230887362,0.11585368349637337,0.21064306090249701
bull_decel,ret_fwd_6,4.947419297641532e-05,26805,1.5216589496763013,0.1280945584521158,0.21349093075352632
bull_decel,ret_fwd_12,0.00010597493794527269,26805,2.0369519135429264,0.041654861041001245,0.10776510278253897
bull_decel,ret_fwd_24,0.00010049325322783086,26805,1.2484808441501665,0.21185501921152827,0.32593079878696657
