_decile,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24,count
"(-9.901, -1.46]",3.817620006610737e-06,1.5195506760331536e-05,5.635055405274429e-05,0.00013054363396786323,0.0003735775871072955,9242
"(-1.46, -0.695]",-5.702181497820696e-07,-1.2082279837667664e-05,6.97043575335628e-06,3.5782514153595795e-05,9.082311135536644e-05,9241
"(-0.695, -0.307]",4.2067018451897436e-06,1.9743441298325597e-05,-2.3317545574888935e-06,-2.0085764261429836e-05,6.880123203301984e-05,9241
"(-0.307, -0.122]",-1.1244484511148361e-05,-1.7832835080324292e-05,-3.907878303320121e-05,-8.191857397362664e-05,4.678952827593044e-08,9241
"(-0.122, -0.0611]",3.4098050099862443e-06,1.2131234500629075e-06,5.845350329916161e-06,-4.834542042523152e-06,-7.018461154046562e-06,9241
"(-0.0611, 0.0177]",2.2492731632029684e-05,3.9848067910989605e-05,5.716364951821365e-05,9.538083448458577e-05,5.6840793506783086e-05,9241
"(0.0177, 0.0898]",2.6633817519915737e-05,6.517426507961717e-05,0.00011871710349953225,0.0001632027408267236,0.0003273627538673587,9241
"(0.0898, 0.152]",2.147752768830764e-05,6.908101320278922e-05,0.0001421802157139286,0.0003576528377150859,0.0006697368529975912,9241
"(0.152, 0.498]",4.275251740526668e-06,1.4704442321241071e-05,2.3763417670025084e-05,8.471805380354976e-05,0.00012020291616283631,9241
"(0.498, 9.9]",1.2741090549585474e-05,6.09955613979448e-05,0.00012979580137985325,0.00022458892010008248,0.0002619223443282807,9242
