,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
baseline,2.681640380290615e-05,7.55203195266857e-05,0.00015862177007307037,0.0002826163892984539,0.0005444479378443599
moderate,-1.7962417210005708e-05,-5.700678647560839e-06,-6.96482493976217e-05,9.856243381525876e-05,0.0007987786672936178
extreme_bull,3.745749821100192e-05,0.00023454185019302956,0.00048408897893091016,0.00041629261565129857,0.0008075998414424482
extreme_bear,-5.953556023830796e-05,-0.00012225354860995026,-0.00010475626821426175,-9.921338067180339e-05,-7.319142125598628e-05
