peak_idx,confirm_idx,div_type,price_direction,indicator_direction
253,258,bearish,higher_high,lower_high
265,270,bearish,higher_high,lower_high
406,411,bearish,higher_high,lower_high
462,467,bearish,higher_high,lower_high
689,694,bearish,higher_high,lower_high
799,804,bearish,higher_high,lower_high
812,817,bearish,higher_high,lower_high
850,855,bearish,higher_high,lower_high
944,949,bearish,higher_high,lower_high
1027,1032,bearish,higher_high,lower_high
1087,1092,bearish,higher_high,lower_high
1130,1135,bearish,higher_high,lower_high
1167,1172,bearish,higher_high,lower_high
1217,1222,bearish,higher_high,lower_high
1230,1235,bearish,higher_high,lower_high
1242,1247,bearish,higher_high,lower_high
1261,1266,bearish,higher_high,lower_high
1394,1399,bearish,higher_high,lower_high
1525,1530,bearish,higher_high,lower_high
1577,1582,bearish,higher_high,lower_high
1676,1681,bearish,higher_high,lower_high
1705,1710,bearish,higher_high,lower_high
1827,1832,bearish,higher_high,lower_high
1969,1974,bearish,higher_high,lower_high
1981,1986,bearish,higher_high,lower_high
1996,2001,bearish,higher_high,lower_high
2066,2071,bearish,higher_high,lower_high
2109,2114,bearish,higher_high,lower_high
2120,2125,bearish,higher_high,lower_high
2161,2166,bearish,higher_high,lower_high
2186,2191,bearish,higher_high,lower_high
2356,2361,bearish,higher_high,lower_high
2372,2377,bearish,higher_high,lower_high
2444,2449,bearish,higher_high,lower_high
2491,2496,bearish,higher_high,lower_high
2561,2566,bearish,higher_high,lower_high
2579,2584,bearish,higher_high,lower_high
2621,2626,bearish,higher_high,lower_high
2821,2826,bearish,higher_high,lower_high
2947,2952,bearish,higher_high,lower_high
2960,2965,bearish,higher_high,lower_high
3008,3013,bearish,higher_high,lower_high
3020,3025,bearish,higher_high,lower_high
3143,3148,bearish,higher_high,lower_high
3331,3336,bearish,higher_high,lower_high
3361,3366,bearish,higher_high,lower_high
3419,3424,bearish,higher_high,lower_high
3429,3434,bearish,higher_high,lower_high
3471,3476,bearish,higher_high,lower_high
3502,3507,bearish,higher_high,lower_high
3950,3955,bearish,higher_high,lower_high
3995,4000,bearish,higher_high,lower_high
4069,4074,bearish,higher_high,lower_high
4105,4110,bearish,higher_high,lower_high
4116,4121,bearish,higher_high,lower_high
4193,4198,bearish,higher_high,lower_high
4322,4327,bearish,higher_high,lower_high
4398,4403,bearish,higher_high,lower_high
4410,4415,bearish,higher_high,lower_high
4429,4434,bearish,higher_high,lower_high
4698,4703,bearish,higher_high,lower_high
4828,4833,bearish,higher_high,lower_high
4870,4875,bearish,higher_high,lower_high
5238,5243,bearish,higher_high,lower_high
5342,5347,bearish,higher_high,lower_high
5447,5452,bearish,higher_high,lower_high
5502,5507,bearish,higher_high,lower_high
5597,5602,bearish,higher_high,lower_high
5615,5620,bearish,higher_high,lower_high
5702,5707,bearish,higher_high,lower_high
5772,5777,bearish,higher_high,lower_high
6016,6021,bearish,higher_high,lower_high
6197,6202,bearish,higher_high,lower_high
6474,6479,bearish,higher_high,lower_high
6574,6579,bearish,higher_high,lower_high
6610,6615,bearish,higher_high,lower_high
6771,6776,bearish,higher_high,lower_high
6793,6798,bearish,higher_high,lower_high
6811,6816,bearish,higher_high,lower_high
6824,6829,bearish,higher_high,lower_high
6874,6879,bearish,higher_high,lower_high
6884,6889,bearish,higher_high,lower_high
6975,6980,bearish,higher_high,lower_high
7066,7071,bearish,higher_high,lower_high
7076,7081,bearish,higher_high,lower_high
7133,7138,bearish,higher_high,lower_high
7144,7149,bearish,higher_high,lower_high
7180,7185,bearish,higher_high,lower_high
7253,7258,bearish,higher_high,lower_high
7265,7270,bearish,higher_high,lower_high
7327,7332,bearish,higher_high,lower_high
7584,7589,bearish,higher_high,lower_high
7607,7612,bearish,higher_high,lower_high
7649,7654,bearish,higher_high,lower_high
7683,7688,bearish,higher_high,lower_high
7696,7701,bearish,higher_high,lower_high
7813,7818,bearish,higher_high,lower_high
7948,7953,bearish,higher_high,lower_high
7959,7964,bearish,higher_high,lower_high
7971,7976,bearish,higher_high,lower_high
8007,8012,bearish,higher_high,lower_high
8152,8157,bearish,higher_high,lower_high
8202,8207,bearish,higher_high,lower_high
8227,8232,bearish,higher_high,lower_high
8266,8271,bearish,higher_high,lower_high
8477,8482,bearish,higher_high,lower_high
8505,8510,bearish,higher_high,lower_high
8833,8838,bearish,higher_high,lower_high
8918,8923,bearish,higher_high,lower_high
9002,9007,bearish,higher_high,lower_high
9421,9426,bearish,higher_high,lower_high
9433,9438,bearish,higher_high,lower_high
9668,9673,bearish,higher_high,lower_high
9756,9761,bearish,higher_high,lower_high
9822,9827,bearish,higher_high,lower_high
9879,9884,bearish,higher_high,lower_high
9890,9895,bearish,higher_high,lower_high
9985,9990,bearish,higher_high,lower_high
10165,10170,bearish,higher_high,lower_high
10251,10256,bearish,higher_high,lower_high
10474,10479,bearish,higher_high,lower_high
10489,10494,bearish,higher_high,lower_high
10503,10508,bearish,higher_high,lower_high
10673,10678,bearish,higher_high,lower_high
10694,10699,bearish,higher_high,lower_high
10979,10984,bearish,higher_high,lower_high
11033,11038,bearish,higher_high,lower_high
11044,11049,bearish,higher_high,lower_high
11067,11072,bearish,higher_high,lower_high
11259,11264,bearish,higher_high,lower_high
11272,11277,bearish,higher_high,lower_high
11325,11330,bearish,higher_high,lower_high
11338,11343,bearish,higher_high,lower_high
11526,11531,bearish,higher_high,lower_high
11541,11546,bearish,higher_high,lower_high
11700,11705,bearish,higher_high,lower_high
11751,11756,bearish,higher_high,lower_high
11825,11830,bearish,higher_high,lower_high
12096,12101,bearish,higher_high,lower_high
12120,12125,bearish,higher_high,lower_high
12204,12209,bearish,higher_high,lower_high
12236,12241,bearish,higher_high,lower_high
12291,12296,bearish,higher_high,lower_high
12355,12360,bearish,higher_high,lower_high
12367,12372,bearish,higher_high,lower_high
12614,12619,bearish,higher_high,lower_high
12649,12654,bearish,higher_high,lower_high
12664,12669,bearish,higher_high,lower_high
12762,12767,bearish,higher_high,lower_high
12804,12809,bearish,higher_high,lower_high
12973,12978,bearish,higher_high,lower_high
12984,12989,bearish,higher_high,lower_high
13015,13020,bearish,higher_high,lower_high
13030,13035,bearish,higher_high,lower_high
13061,13066,bearish,higher_high,lower_high
13177,13182,bearish,higher_high,lower_high
13188,13193,bearish,higher_high,lower_high
13201,13206,bearish,higher_high,lower_high
13248,13253,bearish,higher_high,lower_high
13261,13266,bearish,higher_high,lower_high
13282,13287,bearish,higher_high,lower_high
13323,13328,bearish,higher_high,lower_high
13438,13443,bearish,higher_high,lower_high
13561,13566,bearish,higher_high,lower_high
13587,13592,bearish,higher_high,lower_high
13677,13682,bearish,higher_high,lower_high
13691,13696,bearish,higher_high,lower_high
13702,13707,bearish,higher_high,lower_high
13798,13803,bearish,higher_high,lower_high
13833,13838,bearish,higher_high,lower_high
13844,13849,bearish,higher_high,lower_high
13915,13920,bearish,higher_high,lower_high
13937,13942,bearish,higher_high,lower_high
13970,13975,bearish,higher_high,lower_high
14131,14136,bearish,higher_high,lower_high
14383,14388,bearish,higher_high,lower_high
14433,14438,bearish,higher_high,lower_high
14605,14610,bearish,higher_high,lower_high
14615,14620,bearish,higher_high,lower_high
14633,14638,bearish,higher_high,lower_high
14674,14679,bearish,higher_high,lower_high
14787,14792,bearish,higher_high,lower_high
14816,14821,bearish,higher_high,lower_high
14863,14868,bearish,higher_high,lower_high
14908,14913,bearish,higher_high,lower_high
14919,14924,bearish,higher_high,lower_high
14930,14935,bearish,higher_high,lower_high
14957,14962,bearish,higher_high,lower_high
15010,15015,bearish,higher_high,lower_high
15498,15503,bearish,higher_high,lower_high
15513,15518,bearish,higher_high,lower_high
15557,15562,bearish,higher_high,lower_high
15614,15619,bearish,higher_high,lower_high
15651,15656,bearish,higher_high,lower_high
15734,15739,bearish,higher_high,lower_high
15825,15830,bearish,higher_high,lower_high
15836,15841,bearish,higher_high,lower_high
15857,15862,bearish,higher_high,lower_high
15868,15873,bearish,higher_high,lower_high
15878,15883,bearish,higher_high,lower_high
15958,15963,bearish,higher_high,lower_high
16024,16029,bearish,higher_high,lower_high
16133,16138,bearish,higher_high,lower_high
16297,16302,bearish,higher_high,lower_high
16441,16446,bearish,higher_high,lower_high
16477,16482,bearish,higher_high,lower_high
16607,16612,bearish,higher_high,lower_high
16711,16716,bearish,higher_high,lower_high
16773,16778,bearish,higher_high,lower_high
16859,16864,bearish,higher_high,lower_high
16877,16882,bearish,higher_high,lower_high
16973,16978,bearish,higher_high,lower_high
16997,17002,bearish,higher_high,lower_high
17010,17015,bearish,higher_high,lower_high
17088,17093,bearish,higher_high,lower_high
17124,17129,bearish,higher_high,lower_high
17150,17155,bearish,higher_high,lower_high
17246,17251,bearish,higher_high,lower_high
17540,17545,bearish,higher_high,lower_high
17632,17637,bearish,higher_high,lower_high
17644,17649,bearish,higher_high,lower_high
17665,17670,bearish,higher_high,lower_high
17930,17935,bearish,higher_high,lower_high
17958,17963,bearish,higher_high,lower_high
18169,18174,bearish,higher_high,lower_high
18180,18185,bearish,higher_high,lower_high
18303,18308,bearish,higher_high,lower_high
18313,18318,bearish,higher_high,lower_high
18391,18396,bearish,higher_high,lower_high
18483,18488,bearish,higher_high,lower_high
18608,18613,bearish,higher_high,lower_high
18628,18633,bearish,higher_high,lower_high
18689,18694,bearish,higher_high,lower_high
18859,18864,bearish,higher_high,lower_high
19008,19013,bearish,higher_high,lower_high
19029,19034,bearish,higher_high,lower_high
19128,19133,bearish,higher_high,lower_high
19211,19216,bearish,higher_high,lower_high
19265,19270,bearish,higher_high,lower_high
19276,19281,bearish,higher_high,lower_high
19331,19336,bearish,higher_high,lower_high
19378,19383,bearish,higher_high,lower_high
19416,19421,bearish,higher_high,lower_high
19477,19482,bearish,higher_high,lower_high
19492,19497,bearish,higher_high,lower_high
19716,19721,bearish,higher_high,lower_high
19728,19733,bearish,higher_high,lower_high
19792,19797,bearish,higher_high,lower_high
19888,19893,bearish,higher_high,lower_high
19987,19992,bearish,higher_high,lower_high
20117,20122,bearish,higher_high,lower_high
20216,20221,bearish,higher_high,lower_high
20347,20352,bearish,higher_high,lower_high
20428,20433,bearish,higher_high,lower_high
20439,20444,bearish,higher_high,lower_high
20462,20467,bearish,higher_high,lower_high
20472,20477,bearish,higher_high,lower_high
20482,20487,bearish,higher_high,lower_high
20562,20567,bearish,higher_high,lower_high
20640,20645,bearish,higher_high,lower_high
20732,20737,bearish,higher_high,lower_high
20778,20783,bearish,higher_high,lower_high
20792,20797,bearish,higher_high,lower_high
20808,20813,bearish,higher_high,lower_high
20844,20849,bearish,higher_high,lower_high
20857,20862,bearish,higher_high,lower_high
20952,20957,bearish,higher_high,lower_high
21053,21058,bearish,higher_high,lower_high
21065,21070,bearish,higher_high,lower_high
21131,21136,bearish,higher_high,lower_high
21148,21153,bearish,higher_high,lower_high
21203,21208,bearish,higher_high,lower_high
21266,21271,bearish,higher_high,lower_high
21278,21283,bearish,higher_high,lower_high
21292,21297,bearish,higher_high,lower_high
21322,21327,bearish,higher_high,lower_high
21335,21340,bearish,higher_high,lower_high
21393,21398,bearish,higher_high,lower_high
21406,21411,bearish,higher_high,lower_high
21431,21436,bearish,higher_high,lower_high
21517,21522,bearish,higher_high,lower_high
21527,21532,bearish,higher_high,lower_high
21607,21612,bearish,higher_high,lower_high
21672,21677,bearish,higher_high,lower_high
21683,21688,bearish,higher_high,lower_high
21860,21865,bearish,higher_high,lower_high
22227,22232,bearish,higher_high,lower_high
22408,22413,bearish,higher_high,lower_high
22476,22481,bearish,higher_high,lower_high
22486,22491,bearish,higher_high,lower_high
22574,22579,bearish,higher_high,lower_high
22647,22652,bearish,higher_high,lower_high
