state_a,state_b,count,mean_ret,hit_rate,t_stat,p_val_raw
bull_accel,bull_accel,79,0.0030603211686388845,0.5256410256410257,0.6166844891169251,0.5374428540064982
bull_accel,bull_decel,51,0.005543120687975232,0.6666666666666666,0.8048589176287206,0.4209010978249639
bull_accel,bear_decel,75,0.004651007927198476,0.49333333333333335,0.9195880505694831,0.3577880735074336
bull_accel,bear_accel,53,0.008491425520982136,0.6792452830188679,1.0578914614138373,0.29010492840346647
bull_decel,bull_accel,43,0.0036859905984245656,0.525,0.4836181293938424,0.628656905990697
bull_decel,bull_decel,69,0.009434346001667617,0.71875,2.2572469996310254,0.023992645098475446
bull_decel,bear_decel,28,0.004962844115034852,0.5714285714285714,0.6343282414029962,0.5258666294508227
bull_decel,bear_accel,72,0.004889417374819448,0.5972222222222222,0.639352670356585,0.522593531423474
bear_decel,bull_accel,24,0.0031563308754724204,0.5833333333333334,0.4400194512238504,0.6599230194481503
bear_decel,bull_decel,57,0.013884193843445948,0.7368421052631579,2.4662266034048654,0.013654492127393189
bear_decel,bear_decel,49,0.0029826565970967494,0.5714285714285714,0.5563543283770745,0.5779686541921942
bear_decel,bear_accel,107,-0.0008127241611182956,0.4953271028037383,-0.17649743023227324,0.8599031673701304
bear_accel,bull_accel,24,0.014731440069469859,0.625,1.9605994379632745,0.04992576800194537
bear_accel,bull_decel,101,0.003108018044825206,0.5612244897959183,0.9182552218663257,0.35848526419471793
bear_accel,bear_decel,12,0.02455237657602191,0.5,,
bear_accel,bear_accel,130,0.006902464988824293,0.5769230769230769,1.661358448128534,0.09664147778752001
