_decile,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24,count
"(-24594.77, -59.752]",6.56701361319189e-05,0.0002934094801650261,0.0006560500303477118,0.002332830920401841,0.00468518561157485,716
"(-59.752, -28.63]",-0.00011142672657853993,-8.345829948498255e-05,-0.00031475938772417813,-0.0009366871653690317,0.0013511670667048388,715
"(-28.63, -16.065]",0.00013817262504023438,1.0641284735642257e-05,-5.308770597340079e-05,0.0002451117035481716,0.00023875052947888747,715
"(-16.065, -7.865]",-1.6868145493036532e-05,0.00032339607108380447,0.00048538815878629835,0.0013535708639559503,0.003063647916966902,715
"(-7.865, -1.543]",0.0001848228936274533,0.00019754958270326925,0.0003876724372607527,0.0010487892360789032,0.0027347607015229965,716
"(-1.543, 4.597]",6.2553137983777245e-06,0.00029918434191458044,0.000554844248078803,0.0006793468907668308,0.0009302328614723965,715
"(4.597, 12.045]",0.00013972071192151954,0.0002603822088194343,0.0005957028621224287,0.001160646801780803,0.0011650043185664808,715
"(12.045, 25.105]",0.000165142302163544,0.00023068654065476105,0.00024331471774913214,0.0008887476699697275,0.0032937108412245623,715
"(25.105, 58.677]",0.00013276619079836778,0.0004295548656989949,0.0007366901799688173,0.0006464931639454417,0.001470193474090837,715
"(58.677, 206518.111]",0.00015574326216588141,0.000609783878002359,0.0018199446370763942,0.0028662135380186494,0.001879643924354978,716
