_decile,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24,count
"(-9.868, -1.506]",5.324751853922113e-05,0.0005464305971854404,0.001243556715915861,0.0037524107540086488,0.005327372798572771,716
"(-1.506, -0.633]",8.445289054834305e-05,-7.754455223914402e-05,-0.00012113901577128694,0.0011847915144817282,0.004035933533716679,715
"(-0.633, -0.257]",0.00011491114937846972,0.0004530353114310667,0.000971626053930733,0.00108370008179982,0.0036189963438815857,715
"(-0.257, -0.118]",-3.777138130221207e-05,-0.0001792408524730388,-0.0006625192878890637,-0.0019540029548572725,-0.0016141729624701605,715
"(-0.118, -0.0706]",8.425440687460859e-05,2.9525375617930598e-05,-0.00018250721479971276,-0.0005034945988375589,-0.0018459637666863422,716
"(-0.0706, -0.0128]",3.571757024824791e-05,0.0003972494890096196,0.0010772077418565642,0.002710560589501538,0.00585779063791141,715
"(-0.0128, 0.0705]",0.00026814840492767885,0.0006774224722011354,0.0012116866193513898,0.0016722355845894753,0.0024175002440056706,715
"(0.0705, 0.16]",-4.633646668709112e-05,-9.559986091378554e-05,-0.00022974576051564292,0.00045314009591454496,0.0023321611115538444,715
"(0.16, 0.519]",1.466762848506949e-05,0.0002819425959264718,0.0006907950469993007,0.0007199708423183836,0.0006385305593454355,715
"(0.519, 9.9]",0.0002886615980191886,0.0005389511955033123,0.0011200418314867326,0.0012133102235498332,8.756299435287586e-05,716
