state,horizon,mean,count,t_stat,p_val_raw,p_val_adj
bear_accel,ret_fwd_1,-8.0037935306853e-05,1973,-1.0570356661813993,0.2904953101859258,0.44691586182450116
bear_accel,ret_fwd_3,-0.00013547687640671263,1973,-0.6577393224542318,0.5107056501225892,0.6008301766148108
bear_accel,ret_fwd_6,-9.567627600638788e-05,1972,-0.2625023586018827,0.7929341671994053,0.7929341671994053
bear_accel,ret_fwd_12,0.00047594089775201064,1970,0.8516150944058548,0.3944277590465204,0.4930346988081505
bear_accel,ret_fwd_24,0.0015325339109022848,1965,1.675384237526825,0.09385886724288366,0.1877177344857673
bear_decel,ret_fwd_1,4.821904972167874e-05,1695,0.5026814521065053,0.6151882522301808,0.6475665812949272
bear_decel,ret_fwd_3,0.000118037621880337,1693,0.5146359778139356,0.6068074192022809,0.6475665812949272
bear_decel,ret_fwd_6,0.00038635810955598695,1691,0.9808561082895878,0.32666370462987904,0.4607513913000589
bear_decel,ret_fwd_12,0.0012371015738792876,1687,1.8599100243055429,0.0628982568588018,0.13977390413067065
bear_decel,ret_fwd_24,0.0018559754913598763,1680,1.8735801801707914,0.06098831193015188,0.13977390413067065
bull_accel,ret_fwd_1,0.0002454339471554045,1793,2.803884186211712,0.005049103804528759,0.020196415218115035
bull_accel,ret_fwd_3,0.000785890101645802,1793,3.4349713508650077,0.0005926164762093488,0.0059261647620934875
bull_accel,ret_fwd_6,0.0014646804457606032,1793,3.8144418581108024,0.00013649106590417213,0.0027298213180834423
bull_accel,ret_fwd_12,0.0011542689329506902,1793,1.9494403188669827,0.05124286352013134,0.13977390413067065
bull_accel,ret_fwd_24,0.002577402326842503,1793,2.892299291840282,0.003824334444937933,0.020142818734105363
bull_decel,ret_fwd_1,0.00014864578884977455,1691,1.5863598492336528,0.11265770293548832,0.2048321871554333
bull_decel,ret_fwd_3,0.0002938708828361336,1691,1.32527923678952,0.1850785529679787,0.3084642549466312
bull_decel,ret_fwd_6,0.0003335166866751358,1691,0.9432294684355969,0.34556354347504414,0.4607513913000589
bull_decel,ret_fwd_12,0.0013369384147121392,1691,2.2664392401807913,0.023424503331445072,0.07808167777148357
bull_decel,ret_fwd_24,0.0024254097289816874,1691,2.8759164151869663,0.004028563746821073,0.020142818734105363
