_decile,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24,count
"(-81844.958, -59.494]",4.0248361401037885e-05,4.542696779124116e-05,1.851203451260542e-05,0.00022765326029678805,0.00039811480072048447,3063
"(-59.494, -26.86]",4.212413205102433e-05,1.3455694485076471e-05,0.00011319104396123921,0.00025484071236341396,0.0006903800570554762,3063
"(-26.86, -14.527]",5.879683991307182e-05,0.00018226871966134587,0.000225678490648152,0.00036904230141383083,0.0005085781316656902,3063
"(-14.527, -7.679]",4.0416957913979875e-05,0.00014473382083974613,0.00032235894669436235,0.00046669906808238413,0.0005377060594139639,3063
"(-7.679, -2.194]",-1.3763982862366137e-05,3.6281873753180154e-05,-2.131578557040883e-05,0.00016903437147794496,0.0006773776094658224,3063
"(-2.194, 3.822]",2.54478180860838e-05,0.00012682301456585582,0.00028135332417076795,0.0004297508151809937,0.0005221902758434431,3062
"(3.822, 11.6]",5.796545038048548e-05,0.00013390054380287686,0.0002732554115597727,0.0004585266584675676,0.0007775979175342688,3063
"(11.6, 23.874]",-9.413886135460285e-06,3.1628413987585172e-06,0.00010212611524242462,0.0002454328548602798,0.0007970772221100829,3063
"(23.874, 55.259]",-7.990508034190385e-07,-2.488877744133469e-05,3.4990071660245685e-05,0.00024544938816589294,0.0004504869773524748,3063
"(55.259, 191396.248]",7.812644525827087e-06,5.610367058682893e-05,7.144666442170847e-05,-3.112483589274853e-05,0.0003125205841216148,3063
