,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
baseline,1.089766525514749e-05,2.8961781538018495e-05,4.9434533876651676e-05,9.332269247959206e-05,0.00018021891463989017
moderate,-3.49878032703359e-06,3.7567028982429725e-05,0.00011988258642210208,0.00023535287366003072,0.00030641474612507375
extreme_bull,6.1565394026294e-05,0.00013459205406306766,0.0001631245320886618,0.00021079820199199726,0.0001548555689305613
extreme_bear,1.3968792637677913e-05,5.577440806976823e-05,9.626971478238273e-05,0.0001981484734048364,0.0005175999665089265
