ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
0.002068280656096988,0.00861554634797801,0.009567510187309614,-0.013697222888059413,-0.03656473649967462
0.005729543724336761,0.0062212396453094065,-0.003919847876311833,-0.019196361631836578,-0.046273406765323655
0.00045471512436812134,-0.01007838745800671,-0.015711425565848813,-0.025674437544538242,-0.06262852489056292
0.0025668581148095004,0.009884121825714631,0.01636628734002521,0.015182116974681303,0.03528574288491404
0.001281273697147034,0.005582721020840342,-0.0012878173783438251,-0.004432190204743391,-0.02520722746646442
-0.005073867337102467,-0.002598813276711076,-0.004363911106479379,-0.013052660031784957,-0.03648750749029528
0.022772016147240226,0.020492115175878567,0.021270125234384984,-0.015824048059534968,0.010249436857715066
-0.0029194314554219503,-0.026116414415659372,-0.029848275284832027,-0.025753135923969994,-0.0006208693625511241
0.0031125027006588812,0.015258723128443341,0.021085394836340088,0.025872306092686648,0.013226477260451563
0.007772380291464209,0.0002709758434948917,0.0017976934007468692,-0.01585539142791048,-0.009609728693698139
0.004606643124551946,0.008576049438440814,0.0,0.00163289568011038,0.008436655338130317
0.002744418580044483,0.0035975029097450317,0.008689556660670839,-0.01986562268543013,-0.01719394773039895
0.007465728782287906,0.005073800738007339,-0.009646810753821788,-0.01668424486030573,-0.03144439246178177
-0.003205926702943618,-0.014646299088703851,-0.028309185078345234,-0.01724250967022878,-0.028020717235953563
0.004601331856531443,0.010009435123272015,0.01113071064254556,-0.0006700373302703788,-0.006631934473752543
0.001706884418014809,0.0036101884583250587,-0.00898142083326392,-0.030432537899677148,-0.002810929454550526
-0.010022204075021413,-0.01254631473095269,-0.018073718878863,-0.03501360590128977,0.002206902835237612
-0.0004000786595330652,-2.034976368237018e-05,0.0012680391398987023,-0.011724339022587515,0.0026717117263732604
-0.0010448827708943176,0.007145649917083441,0.007496184492591373,-0.0007887179625460927,-0.024976068813956975
0.0029283363556988906,-0.0015111827523675014,-0.0023910336490026163,-0.038048223520720015,-0.030861709987238917
0.0043432564679022345,0.010308273764364495,0.021138566586158536,-0.004141406407695336,-0.007886080002227347
-0.0002592668399615805,-0.02518916429580198,-0.023347053646355698,-0.019103369697962114,-0.017772956451139743
-0.0031396371365460807,0.008786796882597203,0.00708500618201513,0.014031090674186952,0.035876526402067066
-0.000848364669692292,0.0046763066778860995,0.006897217662394928,0.02533347357675919,0.018174168540410873
0.0023289904511392123,0.010706499253352986,0.018309968079130767,0.021543161673037048,-0.0005753976408696682
-0.000443783998224867,-0.0020709987157160326,0.0018759959924958824,-0.011558555953765759,-0.01812790392748842
-0.0009532247160627394,0.0024540224445646075,0.01001892915089253,0.006199296917252628,-0.011431861817198463
0.0062178469967417715,0.007546387701532931,0.0076475456232174555,0.0017871232830946049,-0.010479960686524792
-0.00041498775116799447,0.00010040026237945199,-0.003781743216288991,-0.012175211844553724,-0.007543406380102091
0.0004966525617338124,6.622034156444911e-05,-0.001231698353100108,-0.007549118938355526,0.007833859785048691
-0.0009724365019149195,0.0027333600715755413,0.0015572295987833495,0.004605970042222296,0.014179277857072403
0.0009122710298161696,-0.003964119527194221,0.0042397566402172515,0.005887094974633689,0.018494818431812554
0.0008110075542038242,0.001608947316785958,0.003845769972857127,0.009529415612021364,0.018672945485463943
-0.003003583478323857,0.005420802339156872,0.005661871384204709,0.01370184980552791,0.007785878617083908
-0.00021372735692037903,0.005038631668253357,0.008335107864280822,0.007862337847377443,0.014830933830720205
0.0004427312945065598,-0.0011549344648799087,-0.000673711771179919,-0.0007635400073372489,0.005537275545143716
-0.00045946842793787024,-0.0005169011837529158,0.004122395584059246,0.003139657317890343,0.0014358188953766948
-0.0036375011109277544,-0.0024567436486675476,-0.0009649264248441369,-0.007186121656107547,0.0029836344476468213
0.002443746231235444,0.0028626741565902503,-0.0022279412231426265,0.007807293154336925,-0.0027928528356977456
-0.004253278564014251,-0.005076084204663434,0.0005696346742956049,0.004911516747259537,-0.006012810450897521
-0.0007112062183339818,-0.006589678069043647,-0.004670050665575687,-0.01473393334801898,-0.010850615224848092
-0.0017605855997980813,-0.005944349088155443,-0.00802676216318543,-0.0035968953114153823,-0.0003155171325802675
-0.0023010679476995755,-0.0012734677409187434,-0.005919740010843388,-0.0035367099141354608,-0.01122164642987733
0.001641517772586587,0.0040027716396238144,-0.002020329566260526,0.002613795062819557,-0.009628133089210178
0.000478342693275291,-0.004777063799860648,-0.0034049998955527627,-0.00847158938893533,-0.011712947884701785
-0.0009489055803857394,0.003891149728964205,0.006565917136762911,0.011011132197265017,0.013787789137819306
0.003034065159773336,0.0055614034328730355,0.006277164107308053,0.008861497199421642,-0.006986577948152162
0.0005045822374438735,0.004900748673894784,0.0057648520627953115,0.0031284035648735387,-0.011245882924306394
