,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
baseline,0.0005656314966633308,0.0017337180354714834,0.003377084708322104,0.006172948228127018,0.011864284831950053
moderate,0.00013663464355324643,0.0004907193010162985,0.006269619808355642,0.013182128001474336,0.01644375867958696
extreme_bull,0.002767485739787047,0.0073104386018401765,0.007787959872371046,0.0135945865851859,0.016282404259702465
extreme_bear,-0.0015608990674085377,-0.001308641793217913,0.0005246050840304803,0.004932170032972504,0.009265750264744943
