div_type,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
bearish,0.0009682941830175817,0.0010225264036201054,0.0023394064925239544,0.0032147366876185135,0.00252531122930999
bearish,-0.0002470812632970887,-0.0015365846243983183,-0.003304807450542069,-0.000687216239052546,0.0002084890524793881
bearish,-0.0012939695182897504,-0.0030993096287802446,-0.002208258110505845,-0.0058654512207405585,-0.00026344131844624474
bearish,-0.0006175317304591976,-0.0009108515832807473,-0.0007950643838195992,-0.0019915321115843154,0.006113571850693056
bearish,0.00048738221596433817,-0.0008974021754266648,0.004603054261886674,0.006397850876514344,0.0044715384258326996
bearish,-0.00042814764977527897,-0.000718676412122643,-0.0006269381326645673,0.0003746291935533552,0.0005810575246949501
bearish,-0.001582757961539949,-0.0013304278013532844,-0.0007034522307604041,0.0005046450280996595,0.002423825362235732
bearish,0.0006261807851790646,-1.528052477639541e-05,0.00015272888332273915,-0.0017411169063237253,-0.0005116493955754642
bearish,-0.0007981210012094619,0.00024324447771140179,-0.0007829110952721763,-3.0397008417559768e-05,-0.0015050205725569699
bearish,-0.0011955658128711688,7.566872233466526e-06,-0.0004994211342741472,-0.0016571450191062986,-0.0008020960236085894
bearish,0.00018814675446843232,-3.7629350893686464e-05,0.0007149576669802649,0.0006396989651928919,0.00290498588899335
bearish,-0.0009529884065584415,-0.0013506922297678026,-0.0006753461148838458,0.0012231268525118022,0.006003076576745592
bearish,0.00041028854474389753,-0.000678841046757972,-0.001850035807000272,-0.004065586488825268,-0.0018873347656134243
bearish,-0.0008427124660681518,-0.0011708379321659912,-0.0018942293350834305,0.004914536288518345,0.005548429436506241
bearish,0.00012615480603850315,2.968915822365581e-05,0.0003116656672206286,2.226872377630862e-05,0.0010611295463973658
bearish,7.420269207369934e-05,0.00016323850229293946,0.0008755843462000534,0.0010388376890313467,-0.0005416870724069822
bearish,0.00011128339429200551,-5.193966956251739e-05,0.00026708014630050236,0.001008969441580021,0.004629389202543077
bearish,4.424419847959271e-05,-0.0006341668448724969,-0.0008553878372699053,-0.0010839902367801857,-0.00020648030027070607
bearish,-0.00044379682981132706,-0.001812170388396206,-0.0014053566277357765,-0.002862489552282965,-0.0036613238459433095
bearish,5.174452986400624e-05,0.0010940198107629584,0.0029716144293319147,0.00263897102306343,0.009099645180366656
bearish,-0.0003066191661617035,0.0005475211890699772,0.0012921427059227053,0.0011023426606608933,0.002029471240537095
bearish,0.00027704466251576854,-0.00021871947040730255,0.001071718114346476,0.0011810778495502383,0.003040193348011755
bearish,0.0004524087506019292,0.0020869441485091844,0.0035974372820011258,0.0042760540564206195,0.0028312488142321346
bearish,0.0020300869293632395,0.0022159923258251446,0.00265472162525926,0.005725886211024989,0.0057184499951663526
bearish,0.0004140498495344147,-0.00036969396733388393,-0.00042885239598666747,-7.393879346673238e-06,-0.00036230748186660833
bearish,-0.00032515278485967247,-8.868542207052243e-05,-0.0006059739434381983,2.216211822259062e-05,0.0019065703032050685
bearish,-0.0005031721261267164,-0.001298026718781986,-0.0018449450164804704,-0.003762797888166136,-0.0006635942012076512
