group,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
aligned,7.879103105068452e-06,2.3645188418131013e-05,-0.005208079273295141,-0.004703816674575756,-0.0005278920289312206
aligned,-0.0009979647964796223,-0.001406569228351362,-0.0032138928178532256,-0.002168796165330833,-0.004227565613704187
aligned,-0.00022856242118529657,-0.0012846784363177433,0.0005280580075661678,0.0010167008196722005,0.0027427411727616313
aligned,-6.301445394030214e-05,0.001858926391240967,-0.0002678114292465894,0.002378795636249098,0.012752542239376163
tired,-0.0003811509231720356,0.00012445744430111816,0.0013457038950956957,0.003912638683805314,0.00679849567353652
aligned,0.0006091007059412235,0.0004138736177921043,-2.3435059661403024e-05,0.0055600596613980535,0.004380895858062228
tired,0.0008771171311030557,0.0017309555227820184,0.0015291469378251321,-0.00045796786462781736,0.002274307226577621
aligned,0.00016878682789100985,-0.0015038055487356372,-0.0003299241959243693,-0.012137866744414416,-0.01369537196169901
aligned,0.0018792691217115465,0.0010716526711265217,0.0025238014080777305,-0.0005979390296017018,0.00288878968494255
tired,-0.00013865481490615839,0.0004390414862969205,0.0002464760525626719,0.002387811378306459,0.0012324187759000793
tired,-0.001000107703906572,-0.0022540965950179626,-0.0018386595479512602,-0.00484667579585496,0.0012462803686550394
aligned,0.000607369939088942,0.0011609299768655656,0.0013915767891778952,0.002291099357195847,0.0052433785547929546
aligned,-0.00027487916644297616,-0.0006719378807139575,-0.0033902705603129357,-0.007589930038178205,-0.003901857806417497
aligned,0.00120774635352916,0.0019262744465902149,0.001765744569118155,0.005289597435386817,0.006420889342247937
aligned,-0.00010649820867603133,-0.0012170354537640593,-0.0011485772094899094,0.004290049974518206,0.007051191553773872
aligned,0.0005234172318056007,0.0015550801814512294,0.001410950798780286,0.0035804697100723093,0.0034515194271236282
tired,-0.0011660483077156059,5.300219580539611e-05,-0.0003634436283788123,0.002415378208525887,0.006095252517604344
aligned,0.00012872936543995017,-0.0006815084052703702,0.001272141450855635,0.0028699000454339707,0.0073451461456912615
tired,-7.503282686172064e-05,-0.00042768711311202967,0.0013130744700806662,0.0020558994560120336,0.007165634965297318
aligned,-0.0004332033733172036,-0.0006572779470084278,-0.0005004257454245264,0.0015162454177963802,0.0007095694833554322
aligned,5.207178969035553e-05,-0.0020825740770297196,-0.0012867258312574403,-0.0010859136258798419,0.0024693452719570796
aligned,0.0013304519102126378,0.0031440389475247965,0.0020440017838561086,0.006288092760517339,0.008324661810613865
aligned,-3.681153231682721e-05,-0.0012221428729192185,-0.0015092728249905818,-0.003040639931677802,-0.004667709660082342
aligned,-0.0005615353356237529,-3.694262809861293e-05,0.0001921016661126096,0.0016254756363367484,0.0015515903801397446
aligned,0.0007625883833710656,0.0009699033798542533,0.000318357827712612,0.0016362492133417117,0.004338651760263712
tired,-0.00037367564953627586,9.525065576410086e-05,0.00013921249688597648,0.001956294602951214,0.0027476150701191138
aligned,0.00024048124114051106,-7.287089516694323e-05,0.0009400345476542338,0.0016906120549637915,0.0015084348170462114
aligned,-6.543788853741184e-05,0.00020357727124009628,0.0006761842440106136,-0.0008943178100119242,-0.0008143454393426675
aligned,-0.00039768890222846576,-0.0017483304569669844,0.0007953778044571536,0.009296908531552406,0.011292864110452383
aligned,-0.00021916847480663026,0.0007378671985154295,0.0017022011820486682,0.0006575054244197798,0.0034044169753288944
aligned,-0.00036592191058537615,-0.00013631667410218817,-0.00035874697116211607,-0.0015426119759970325,-0.0004735460019340554
tired,-0.0001723009110031759,-0.0010983797210277757,-0.0010122256760733972,-0.0021034264915971157,0.0004450849623465203
aligned,-0.0008749471087301508,-0.0004231373308376529,-0.0004876826093505038,-0.001577773474759181,-0.0036647374800089505
aligned,-0.0001291417346789281,0.00017219854615779795,0.0004233214259712348,0.0011551724220812964,0.003623344408737239
aligned,2.8583474464216607e-05,7.145868616054152e-05,-0.00125767287642653,0.0006931421098892443,-0.0012219435333462592
aligned,0.00036394451285159946,0.0002854410798625029,0.0007635620246588815,0.000941962699573029,0.0010561391315180302
tired,-0.00024247978205993448,0.000698891757356046,0.0006560953345409182,0.0007915947568855053,0.0012694156409123192
tired,0.000270882935800687,0.0006843287093141193,0.00047760225830817404,0.0004562238918748296,0.0012546085741578228
aligned,0.0,0.0006315352565249288,-0.0005321866522776109,-7.08872620824863e-06,-0.005896621011414416
aligned,-7.819041188383835e-05,0.000774718362415161,0.00039802409467282196,0.0018337467571698518,0.003084679626141673
aligned,0.0006874238220895279,0.000822065374196157,0.0009567140130730678,0.0018000467854413227,0.0020197295831543283
tired,4.222972972978134e-05,-0.00029561514639642184,-0.0004363809121621376,-0.0021889146959459538,-0.008023648648648685
aligned,-0.0006884461647618245,-0.0012153128534397872,-0.00028802045647735586,-0.0016157245119458041,-0.0028380552296787265
aligned,0.00037903780551151733,-0.000498364522061423,-0.00030884561930566434,0.0014670166917019056,0.0012353824772226574
tired,0.00046226610365951437,0.00015868383286421484,5.518987691122135e-05,0.0016214053099299353,0.003760280399624616
aligned,-0.0006653998916152926,-0.0007545771966771531,-0.002339189309699119,-0.0070930325085576396,-0.002737064145921564
aligned,-0.0006328261541143076,0.0009836495273263246,0.001960406677491866,0.0016783901393497835,0.002971570684502378
aligned,-0.0001994909541170875,-0.0006397468528581696,-0.0011763156084473314,-0.0007842058196326773,-0.0064525005159248305
aligned,-5.5782531094950016e-05,0.0007738789112610167,0.002091583468124325,-0.0009063528361872297,0.00430866194433599
aligned,-0.0008261548714958433,-0.0024853931492203607,-0.0017147776343011678,0.0023326460337955712,0.0025895225003818023
tired,1.3703320803637453e-05,-5.4779042032993e-05,0.00047937653985585804,0.0012258411430106086,0.004225368635251803
aligned,-0.0033793160874875383,-0.0029352239924503865,-0.003962196069723589,-0.0038164760741645765,-0.0008188145331409213
tired,0.00030589118616264344,0.0009802352581302909,-4.866450688956192e-05,-0.0035455569305209433,-0.008474583223258891
aligned,-0.00010127159100781213,0.0077033243642044,0.003876971038393684,0.0019674145762809125,0.0025171426091483706
tired,-0.00060606060606061,-0.0003174603174602719,-0.0020057720057718997,-0.004884567099567083,-0.006890331890331836
aligned,0.000151730816179807,-0.0031863399144984594,-0.0063654617773130084,-0.013077751299305329,-0.0067267256253601415
tired,0.0005822797708729954,0.001775953301162314,0.0010408178119380995,0.006812673319213092,0.009432932288141238
aligned,-0.00010809423187629896,0.0004188719044100342,0.001182280661146784,0.0027901891161958847,0.0022429620673221073
aligned,0.0004308773325378823,0.00021212422524952146,0.0012926319976136469,0.0012263431772232547,0.002101355606377142
tired,0.0029084947878450507,0.0030076480192489097,0.002478830785095365,0.0026440861707683894,0.0060417369002054855
tired,-0.0005561433243733704,-0.00011917877146760958,-0.00023834430158498066,-0.001635306735874864,-0.004449093629586565
aligned,0.0009134469634286546,0.0019857686579514144,0.0005957305973853799,0.0032103259970213127,0.0034221413205361984
aligned,0.00011221560043184198,-0.0005016336343282024,-0.0019735582924005346,-0.00163032416275799,0.0007524669528160555
aligned,-0.0010630430763542975,0.00021789081689238543,0.0010894540844623712,0.00025750732905471807,0.003255156749333077
tired,0.0005916498484719313,0.0010320937173360356,0.0008283032139733137,-0.003996929994675158,-0.0029648231295648086
aligned,-1.3084845512545407e-05,5.230668628408708e-05,-0.000987418669282314,1.9610920385826347e-05,0.0010004838973352026
aligned,0.0007182360170432389,0.005817711738050901,0.0070583012220348795,0.004211474827208628,0.005491240821213106
aligned,-0.0011357248689681798,-0.0006984015090695239,-0.003948905728850538,-0.006096333718433322,-0.004386222561632347
aligned,-0.0008102416330157958,-0.0007122293226696774,-0.0014832529632389235,-0.0009017197893389506,-0.004776466590870498
tired,-0.000295537385479272,0.001083637080090627,0.0006173381932814692,-0.000512264801497353,-0.004840252191902317
aligned,0.0006893156080749474,7.221401608403788e-05,-0.0005448875759067606,-0.0027572624322993455,-0.007661257180370917
aligned,-0.0003233981889700921,-0.002309987064072483,-0.0025541922965230945,-0.007966161989492848,-0.0025673856226404723
aligned,-0.0003701280270863583,-0.002941195929524909,-0.00442831746692518,-0.0033708088181072515,-0.004375435425055252
aligned,0.0013893972049394687,0.0029346712211784087,0.0061743456278042785,0.004757831455952655,-0.0019519404118037986
