state_a,state_b,count,mean_ret,hit_rate,t_stat,p_val_raw
bull_accel,bull_accel,1510,0.00033018666322637356,0.5794701986754967,1.3055556017830665,0.19170372709322714
bull_accel,bull_decel,2078,0.0006846526010322739,0.5717035611164581,2.083086406273822,0.03724334823457197
bull_accel,bear_decel,1421,0.00017528104828053192,0.5510204081632653,0.7713010490366041,0.4405285107152196
bull_accel,bear_accel,2399,0.0005817857912207606,0.5670706226493941,1.981461573096934,0.04753953461091189
bull_decel,bull_accel,1167,7.483734588664245e-05,0.5449871465295629,0.3253320499125339,0.7449297767135068
bull_decel,bull_decel,2463,0.0005516802527540402,0.5732846122614698,2.6312871618001297,0.008506212844088748
bull_decel,bear_decel,1036,0.0002679163775375962,0.5275895450145208,0.778843072652334,0.4360721614458236
bull_decel,bear_accel,2755,0.0007010113040958957,0.5537790697674418,2.8767968358682086,0.004017341535099859
bear_decel,bull_accel,871,0.00010905900617202387,0.4925373134328358,0.36338881998680406,0.7163144521659242
bear_decel,bull_decel,2084,-6.971689570799807e-05,0.5047984644913628,-0.26726097817547595,0.7892682291831323
bear_decel,bear_decel,1336,0.0002043738596351816,0.5404191616766467,0.8398970815387773,0.40096609412246587
bear_decel,bear_accel,3299,2.4756619217315126e-06,0.4971203394968172,0.012620770534520367,0.9899303493678984
bear_accel,bull_accel,1090,-0.0006397486026711166,0.43761467889908257,-2.106075010683112,0.03519783712096005
bear_accel,bull_decel,2835,0.00041090930020416713,0.5555555555555556,1.684719309718887,0.09204273918442854
bear_accel,bear_decel,805,0.00020311349896188138,0.5229813664596273,0.4049471739078941,0.6855163416807082
bear_accel,bear_accel,3480,0.0001732276891823722,0.5313218390804598,0.8967750963069825,0.3698389392925565
