flip_idx,confirmed,bars_to_confirm
26962,False,
27136,True,6.0
27148,True,11.0
27247,False,
27335,False,
27370,True,8.0
27459,False,
27478,True,3.0
27510,False,
27546,True,18.0
27555,True,9.0
27573,False,
27615,True,1.0
27619,True,1.0
27688,True,18.0
27780,False,
27862,False,
27910,True,17.0
27930,True,14.0
28059,True,3.0
28155,True,19.0
28335,True,19.0
28381,True,11.0
28457,True,11.0
28498,False,
28674,False,
28698,True,3.0
28732,True,4.0
28829,False,
28838,False,
29015,False,
29125,True,12.0
29146,False,
29221,False,
29255,True,1.0
29426,False,
29439,False,
29518,False,
29535,False,
29581,True,10.0
29705,False,
29718,True,18.0
29728,True,8.0
29748,False,
29753,False,
29801,True,11.0
29947,True,7.0
29956,True,17.0
30011,True,15.0
30074,True,16.0
30210,True,20.0
30282,False,
30331,True,2.0
30380,True,17.0
30445,False,
30499,True,7.0
30643,True,15.0
30668,True,10.0
30771,True,6.0
30819,False,
30850,True,2.0
30901,True,16.0
30989,True,11.0
31010,True,12.0
31083,False,
31153,False,
31185,True,7.0
31201,False,
31211,True,13.0
31361,True,9.0
31463,True,4.0
31517,True,1.0
31654,False,
31719,True,19.0
31767,False,
31899,True,6.0
31973,True,5.0
32084,True,3.0
32107,True,2.0
32173,False,
32260,True,1.0
32272,True,12.0
32360,True,1.0
32446,True,1.0
32458,False,
32467,False,
32489,True,1.0
32575,True,17.0
32591,True,1.0
32653,True,2.0
32698,False,
32700,False,
32715,True,13.0
32724,True,4.0
32815,False,
32853,True,10.0
33038,True,10.0
33072,False,
33117,True,1.0
33144,True,20.0
33168,True,1.0
33263,True,6.0
33290,True,12.0
33295,True,7.0
33370,False,
33382,False,
33405,False,
33494,False,
33505,False,
33555,True,8.0
33587,False,
33632,True,1.0
33687,True,5.0
33734,True,1.0
33814,False,
33852,True,10.0
33913,True,5.0
33991,True,16.0
34005,True,2.0
34062,True,20.0
34080,True,2.0
34186,False,
34231,True,4.0
34292,True,10.0
34389,False,
34434,True,18.0
34455,True,8.0
34584,True,15.0
34654,False,
34796,False,
34816,True,10.0
34832,True,10.0
34864,False,
34932,False,
34954,True,8.0
34983,False,
35067,False,
35159,True,1.0
35173,True,5.0
35206,True,10.0
35401,False,
35408,False,
35461,False,
35496,True,13.0
35536,True,9.0
35611,False,
35704,True,6.0
35714,False,
35819,True,6.0
35952,True,4.0
36067,True,19.0
36090,True,11.0
36180,True,1.0
36216,False,
36234,True,4.0
36256,True,1.0
36326,True,8.0
36397,True,1.0
36469,True,9.0
36546,True,6.0
36627,True,3.0
36642,True,17.0
36699,True,17.0
36738,False,
36841,True,1.0
36910,True,4.0
37000,True,15.0
37101,False,
37131,True,3.0
37195,True,19.0
37344,True,19.0
37445,True,13.0
37526,False,
37533,False,
37598,True,2.0
37681,True,3.0
37793,False,
37907,True,3.0
38008,True,2.0
38123,False,
38185,False,
38237,False,
38268,True,14.0
38332,False,
38349,False,
38405,True,8.0
38421,True,6.0
38438,True,13.0
38479,False,
38579,True,3.0
38591,False,
38651,True,19.0
38724,True,3.0
38919,False,
38965,False,
39008,True,16.0
39070,False,
39135,False,
39233,False,
39251,True,5.0
39334,False,
39421,True,3.0
39451,True,5.0
39533,True,4.0
39602,False,
39670,False,
39718,True,15.0
39753,True,2.0
39773,True,7.0
39835,True,1.0
39910,True,12.0
39999,True,20.0
40077,True,19.0
40149,True,3.0
40228,True,7.0
40240,True,15.0
40278,True,10.0
40296,True,9.0
40307,True,7.0
40350,True,7.0
40366,True,19.0
40402,False,
40531,True,13.0
40589,True,2.0
40703,True,1.0
40767,True,14.0
40833,True,15.0
40888,True,1.0
40976,True,4.0
41037,True,19.0
41127,False,
41131,False,
41163,True,9.0
41193,False,
41219,True,19.0
41273,True,3.0
41382,True,15.0
41386,True,11.0
41418,False,
41461,True,1.0
41556,True,3.0
41596,True,3.0
41638,False,
41745,True,1.0
41784,True,1.0
41828,True,16.0
41862,False,
41933,False,
42043,True,2.0
42070,False,
42088,True,5.0
42157,False,
42252,False,
42333,False,
42339,False,
42385,True,9.0
42492,False,
42534,True,15.0
42558,True,16.0
42568,True,6.0
42627,True,5.0
42662,False,
42688,False,
42742,True,6.0
42780,True,19.0
42891,True,9.0
42894,True,6.0
42897,True,3.0
42930,True,13.0
43129,True,20.0
43182,True,1.0
43301,False,
43419,True,10.0
43454,False,
43549,True,17.0
43581,False,
43660,True,9.0
43741,False,
43856,False,
43890,True,13.0
43900,True,3.0
43917,True,1.0
44012,False,
44027,True,8.0
44063,False,
44084,True,20.0
44111,True,14.0
44177,True,8.0
44205,True,18.0
44254,True,10.0
44391,False,
44514,True,4.0
44573,True,9.0
44656,True,1.0
44709,True,2.0
44821,False,
44857,True,14.0
44918,False,
44994,True,12.0
45058,False,
45105,True,15.0
45174,True,17.0
45235,False,
45292,True,1.0
45377,True,17.0
45426,True,3.0
45473,True,3.0
45755,True,5.0
45769,False,
45871,False,
45932,True,15.0
46002,True,5.0
46081,True,5.0
46107,False,
46138,True,8.0
46195,False,
46207,False,
46251,False,
46521,False,
46631,False,
46655,False,
46660,False,
46739,True,13.0
46846,True,1.0
46967,False,
47109,False,
47131,True,5.0
47182,True,9.0
47266,False,
47358,True,7.0
47383,False,
47430,True,1.0
47486,False,
47558,False,
47566,False,
47817,False,
47853,False,
47879,True,8.0
47950,True,3.0
48038,True,2.0
48107,True,16.0
48152,True,11.0
48248,True,7.0
48250,True,5.0
48283,False,
48365,True,11.0
48459,True,8.0
48517,False,
48561,True,6.0
48586,True,15.0
48624,True,17.0
48779,True,3.0
48947,True,19.0
49001,False,
49006,False,
49033,True,4.0
49048,False,
49077,True,1.0
49219,True,8.0
49236,False,
49277,True,18.0
49305,True,10.0
49388,True,1.0
49398,True,2.0
49428,False,
49457,True,10.0
49553,False,
49736,True,3.0
49750,True,6.0
49798,True,1.0
49843,True,2.0
49955,True,12.0
49995,True,15.0
50025,True,18.0
50094,True,11.0
50117,False,
50190,True,17.0
50205,True,2.0
50341,False,
50480,True,1.0
50576,False,
50603,True,14.0
50653,False,
50722,True,1.0
50768,True,3.0
50814,False,
50853,True,2.0
50925,False,
50989,True,1.0
51077,False,
51136,False,
51219,True,14.0
51318,True,12.0
51363,True,19.0
51387,True,17.0
51405,True,16.0
51420,True,1.0
51480,True,4.0
51578,True,12.0
51758,True,11.0
51789,False,
51859,True,1.0
51871,True,5.0
51882,True,4.0
51929,True,1.0
52084,False,
52176,True,14.0
52292,True,8.0
52295,True,5.0
52370,True,14.0
52628,True,4.0
52658,True,11.0
52663,True,6.0
52682,False,
52702,True,2.0
52806,True,18.0
52823,True,1.0
52880,True,12.0
52917,True,17.0
53129,True,11.0
53150,False,
53242,False,
53281,True,20.0
53287,True,14.0
53304,True,9.0
53334,True,17.0
53382,False,
53511,False,
53623,False,
53716,False,
53781,False,
53955,True,19.0
54078,False,
54094,False,
54125,True,3.0
54221,False,
54269,True,12.0
54307,False,
54311,False,
54316,True,16.0
54331,True,1.0
54414,True,1.0
54508,False,
54632,True,9.0
54847,False,
54855,False,
54945,True,1.0
55052,True,3.0
55155,True,13.0
55202,True,1.0
55305,True,2.0
55397,False,
55433,True,3.0
55527,True,16.0
55540,True,3.0
55556,True,1.0
55634,False,
55674,True,11.0
55706,True,2.0
55755,True,1.0
55834,True,6.0
55923,False,
55996,True,7.0
56030,False,
56042,False,
56055,True,12.0
56131,True,5.0
56193,True,15.0
56249,False,
56260,False,
56281,True,1.0
56299,True,1.0
56353,True,13.0
56355,True,11.0
56415,True,1.0
56524,False,
56555,True,4.0
56655,True,1.0
56770,False,
56862,True,6.0
56901,True,1.0
56942,True,13.0
56955,True,1.0
57022,True,12.0
57082,True,11.0
57126,False,
57139,False,
57228,False,
57327,True,6.0
57509,True,9.0
57555,True,1.0
57658,False,
57771,True,1.0
57840,True,16.0
57854,True,2.0
57916,True,5.0
58034,True,8.0
58075,True,1.0
58089,True,5.0
58096,True,1.0
58198,False,
58208,False,
58282,True,13.0
58307,True,20.0
58378,True,2.0
58448,True,1.0
58470,True,1.0
58531,False,
58665,False,
58755,True,1.0
59082,False,
59127,True,20.0
59172,True,2.0
59193,True,4.0
59281,True,8.0
59363,False,
59404,False,
59500,True,13.0
59668,False,
59805,True,1.0
59886,True,1.0
59965,True,6.0
59978,False,
60086,True,7.0
60120,True,13.0
60212,False,
60339,False,
60380,True,5.0
60443,False,
60522,True,12.0
60630,True,16.0
60640,True,6.0
60732,True,2.0
60774,True,1.0
60808,True,14.0
60895,False,
61053,False,
61089,True,4.0
61099,True,16.0
61121,True,9.0
61143,True,2.0
61259,False,
61271,False,
61296,True,18.0
61301,True,13.0
61461,False,
61513,False,
61519,True,18.0
61600,False,
61784,True,13.0
61819,False,
61826,True,15.0
61941,False,
61998,True,1.0
62052,False,
62092,True,9.0
62112,True,13.0
62229,True,10.0
62258,False,
62303,True,7.0
62355,False,
62365,False,
62373,True,17.0
62390,True,1.0
62486,True,2.0
62495,True,11.0
62530,True,11.0
62605,True,1.0
62680,True,2.0
62752,False,
62757,False,
62819,True,11.0
62840,True,16.0
62903,True,1.0
62944,True,16.0
63000,True,2.0
63033,True,2.0
63204,True,11.0
63309,True,6.0
63499,False,
63613,False,
63788,False,
63805,True,4.0
