,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
A_hist,0.00856031293663442,0.02580905864151112,0.03613718843066858,0.04251169251783892,0.04165645191528147
A_macd,0.024822105630319086,0.04388704223990251,0.051847322272422176,0.05485096925857428,0.0507764588208144
A_signal,0.023129487618982446,0.038245386373987264,0.04401477389634444,0.046728749290060455,0.038584388942521315
A_hist_slope,-0.017872816202933635,-0.008213233202871909,-0.003444008555576309,-0.0012728355026988328,0.006986359750983215
B_gap,0.006978166666269967,0.0113223069249157,0.011412599791816858,0.009687622616129132,-0.0004538511155085345
B_gap_norm,0.007258832454084276,0.011313770539323635,0.010830951744944974,0.008471350193369,-0.00251437176232995
B_roc,-0.004243074867009112,-0.003017350414193145,0.0029826521093345394,0.005688390629396603,0.021270113551896334
B_zroc,-0.006589770948855471,-0.007294167825686672,-0.0038509305654566514,0.005853911923153512,0.0350310931314547
B_gap_acc,0.02269731840224277,0.042168370076102295,0.05287867806645381,0.058533187384083106,0.06068034287853574
B_roc_slope,-0.005913676802666625,-0.01057171488992352,-0.005222065626503472,-0.015558432037889551,-0.00662324764230335
