div_type,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
bearish,-0.0015282967788411428,0.001534926042917606,0.006926992133055032,-0.00295735969352795,0.008117877895293946
bearish,-0.002155930134596362,0.0049088870756963665,0.004033247759491099,0.009751437839558896,0.013307057520215881
bearish,-0.0009148943433584522,0.007175775782610305,0.000518895299218336,0.01281534837674525,0.01201652271873832
bearish,-0.0012189044757290324,-0.00736056007219521,-0.005050709153573307,-0.01235066071592561,0.016950186653670762
bearish,-0.0004917839298126392,-0.0032851166511481678,0.0030687251649115233,0.0066161331357454944,0.01876646820452965
bearish,0.0008031748519339299,0.0022332295074474207,0.0076661377423419275,0.011949771778948737,0.012694183791407854
bearish,0.0028522869394318473,0.0030564843411011733,0.0051685852114653486,0.004198671482171568,0.003968956583884298
bearish,0.00029247946285515525,0.0035606195478012914,-0.004272749815610766,-0.0013352323304255398,-0.0003052023194893838
bearish,0.00205187026062581,0.0022048046899891816,0.007633970560122272,0.0007582935066590135,0.0057860128719811055
bearish,-6.143987048679023e-06,-0.0013284111817390976,0.054564023263287575,-0.0011131686805074814,-0.001685137588931851
bearish,-0.006732062929047933,-0.006412350549543366,-0.0070578015852907905,-0.0030342574830793945,0.0043915209864031635
bearish,0.0008847052214400186,0.00530823132863989,0.014450185283519712,0.010135802310471176,0.026287547044421267
bearish,-0.0037351170822021995,0.0005697702558171702,-0.0008172322153895406,-0.001438799243990374,-0.001058950488380006
bearish,0.0035508384742377608,0.0035276739942653457,0.0031801199061605168,0.005595615025921763,0.013351869551365692
bearish,-0.0020432146535644957,-0.001416874982601679,0.0086657795841103,0.017479007877961195,0.02773151462851109
bearish,0.002346598188796678,-0.0022865197852782737,-0.007605370777615361,-0.008468672740435168,-0.007774831650981473
bearish,-0.001866696989488159,-0.005126547999380726,-0.0038027459110944184,-0.00935588584308611,0.0803973019306603
bearish,0.0018129368029740078,-0.0013696997426364543,-0.001375510437517935,-0.00682582785244501,-0.011578450100085735
