_decile,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24,count
"(-136.363, -28.957]",3.8282133259616846e-05,1.3712905127145011e-05,0.00024436106832751456,0.00033904586867446364,-0.0012304430760891783,716
"(-28.957, -19.029]",-0.00012532808340227065,1.307334818159005e-05,-8.876639188854676e-05,0.001584903532576647,0.002394339123557237,715
"(-19.029, -11.546]",-9.5933146206743e-05,-0.0002544156238473097,-0.00010000253518323735,0.00045979108540995155,0.0023419589025390976,715
"(-11.546, -5.918]",-2.5784601766000226e-05,-0.00012282469836760547,7.853679020670497e-05,0.0006337020934043967,0.0023476674113973245,715
"(-5.918, -0.759]",0.00010536307490861268,0.0002557136426329627,0.00048808284800132815,0.0010748262817621033,0.002438393741302308,716
"(-0.759, 5.243]",4.0106989222881396e-05,0.0003834470394243813,0.0009001665029568215,0.0011145838973802163,0.0022606720955584566,715
"(5.243, 11.312]",0.00028529459255109604,0.0006341349748201442,0.001248142463827279,0.0018675404620131042,0.0024621514550531034,715
"(11.312, 18.684]",0.0005249080853260359,0.0011670256026228621,0.0019018492369801444,0.0020266499021966058,0.0029355603424946913,715
"(18.684, 28.731]",0.00023331913253149734,0.0008917540095990079,0.001026610027721374,0.0011515688875713406,0.002015670433656506,715
"(28.731, 125.981]",-0.00011973064979076969,-0.0004092651073776554,-0.0005859039071675131,4.5618309660247845e-05,0.002874587170121777,716
