_decile,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24,count
"(-9.899999999999999, -1.539]",-3.733841601569752e-05,-4.55390383116762e-05,-8.18259431320833e-05,-6.104900232765762e-05,2.5777995967187758e-05,3063
"(-1.539, -0.69]",0.00010272113076176152,0.00015659602246991225,0.0003070238471091026,0.000692315151271642,0.0007757992014429391,3063
"(-0.69, -0.247]",6.628659080696776e-05,0.00021779114505479197,0.0003074591547823018,0.00034606042905340086,0.0007060108536593449,3063
"(-0.247, -0.112]",4.961513544943056e-05,0.00012980749480059477,0.00021166770885806837,0.000323690826259731,0.00045421444624036994,3063
"(-0.112, -0.0654]",-1.2585443967293668e-05,-2.9627830708530314e-05,-8.113184350728685e-06,6.911969172483464e-06,0.0003092315806782573,3063
"(-0.0654, 0.0121]",4.725750864061956e-05,0.00014970424246418373,0.0003730012496435799,0.000679131832317113,0.000809115104813425,3062
"(0.0121, 0.0805]",4.9900651649603046e-05,9.835002840361557e-05,0.0002332191477577355,0.0005329076963735095,0.0008279588602753778,3063
"(0.0805, 0.151]",-6.230459439359372e-05,-6.724411962467634e-05,-6.532532375859489e-05,3.052388062225583e-06,0.00038642587555118985,3063
"(0.151, 0.472]",4.125053310191807e-05,4.1030953141039556e-05,7.825759271027723e-05,0.0001463331783998181,0.0005922189854088327,3063
"(0.472, 9.9]",4.013923440344463e-06,6.61960740568997e-05,6.559650137716239e-05,0.00016526968745552985,0.0007838329478929401,3063
