ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
-0.006420462484482803,-0.01879091197782845,-0.0202892924160627,-0.005228257166777328,0.05284799214757929
0.0040684774033583615,0.01462015101994818,0.028882610165671174,-0.005384357038205834,-0.0302039896314662
0.007674821418683253,0.009734802591505609,-0.006509264078852661,-0.05037373054986427,-0.039506572899939085
-0.001300760408651902,-0.007927792385362786,-0.03330503097759552,-0.050401042781555216,-0.049658990460513364
-0.0015240759762499279,-0.0005139242251952503,0.014236274671074245,0.03348612644960536,-0.010793384137723905
0.012570996779964316,0.026447227191413347,0.01897965223613607,-0.034324127370304214,-0.04577034991055462
-0.0073309370773670945,-0.00727516696178343,-0.022910408097820856,-0.04231002049551735,-0.09609190915048171
-0.009033051920528945,-0.027933222027964888,-0.01581200949539119,-0.032130205470578654,-0.07902027293480862
-0.0012029475193071626,-0.01496654562258004,-0.04719418093041772,-0.057252298831431125,-0.026815601601958616
-0.0038658789418715145,0.0009415036398496834,0.02856078938753881,0.05513870711290547,0.11792806347523821
-0.008639347448594181,0.018783807693110832,0.04122797746049045,0.06192633679362358,0.0682808507725936
-0.001661620508101036,0.007758866945503984,0.01757901172135723,0.013249613043262443,0.025090720349321582
-0.001413715094841561,0.0072625761757090235,0.01567063076611186,0.004750394359269494,0.02652991133360061
0.005529444194265931,0.0007477627215786153,-0.0037526780475157784,0.02492865544957068,-0.0027374298931509555
-0.0038522672850312967,-0.013414964282022823,0.005759351600460816,0.016319046692997663,-0.0010323366076298024
-0.0005960054143662186,-0.008214208165182146,-0.011253555642433355,-0.017072771938189124,-0.03771135460562203
0.004307267120100322,-0.006504024163173638,-0.019123772539480832,-0.009141734629512621,-0.0311667068871454
-0.01687043791076248,-0.012702364864314086,-0.004424889738447901,-0.00812393005607781,-0.025281938340454113
0.008854645511216619,0.014112329820352043,0.004365367910118989,-0.017298540416794572,-0.04284384156789389
-0.005289110949118103,-0.021741531812369153,-0.02988697356875758,-0.01065060828755282,-0.056290616884746125
-0.013433915778166217,-0.02553305146298901,-0.023833741490906224,-0.02650901970328312,0.010999713203120987
-0.00695814188329924,-0.012225115623884286,-0.004495721552808862,0.014277915153217524,0.021163137596146964
0.008621522082463473,0.01034418473631682,0.01226591111021813,0.006788299676119047,0.029553153253573772
0.011057074861211103,0.013339870429734058,0.01741293112896547,0.01459886677358635,0.03192874391984102
0.002886315620570734,0.0029519963629556223,-0.0033053887091166745,0.004250078891771203,0.019530799882331085
