_decile,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24,count
"(-140.216, -68.831]",0.0023067196638997573,0.005527450283512357,0.007272352357977588,0.007522285848571416,0.01036943547553896,98
"(-68.831, -49.996]",-0.00022560067857259336,0.001029254799959187,0.003509137254731403,0.007597520697383712,0.013092330582198419,97
"(-49.996, -31.79]",0.00019940041548783277,-0.000431590829760906,-0.0002612969719212102,0.0007727842790319142,0.010301546990351584,97
"(-31.79, -17.368]",0.00038268503985573033,0.0022176251361800737,0.003262297173214898,0.006805330244325436,0.009680088238492911,98
"(-17.368, -2.394]",-0.0006065873104056409,-0.00015713918248627554,0.0026609065451057763,0.006539223593240593,0.013354436809750332,97
"(-2.394, 14.853]",3.1176506716702846e-05,7.770269628801831e-06,0.0024500250861548695,0.002072205174134683,0.007588066373242895,97
"(14.853, 33.196]",-0.0009068902117158889,-0.0017172670503459006,0.0008678813611493211,0.0021007253628653566,0.004678058178914699,98
"(33.196, 54.307]",0.000901392939943245,0.0029515449084118166,0.005578304611883754,0.011624680783147148,0.018832032220349303,97
"(54.307, 78.465]",0.0019274460546156087,0.0019288199102744815,0.0009747843039063583,0.01510616927310125,0.021949045564414363,97
"(78.465, 169.09]",0.00024196435518440723,0.0014651303206992873,0.00020552994189311247,-0.004372504003808464,-0.003393748208887038,98
