state,horizon,mean,count,t_stat,p_val_raw,p_val_adj
bear_accel,ret_fwd_1,-1.4743895941068902e-06,2750,-0.0193155842338995,0.9845893518272388,0.9845893518272388
bear_accel,ret_fwd_3,4.519101492483262e-05,2748,0.22438389868178035,0.8224585982845855,0.8706202596723379
bear_accel,ret_fwd_6,7.702402260241858e-05,2745,0.2184362208440544,0.827089246688721,0.8706202596723379
bear_accel,ret_fwd_12,0.0006280909271084258,2739,1.1113301439518601,0.26642626884379716,0.3552350251250629
bear_accel,ret_fwd_24,0.0022106384538185205,2728,2.562014497454711,0.010406697436099921,0.06350674859539852
bear_decel,ret_fwd_1,0.00017915661703301957,1012,1.852168920126617,0.06400157025081268,0.12800314050162537
bear_decel,ret_fwd_3,0.0004976944106691154,1012,2.0275519015150585,0.042606002226038574,0.11723282639730895
bear_decel,ret_fwd_6,0.0007937523698687568,1012,1.7754851608438094,0.07581781360181308,0.13785057018511468
bear_decel,ret_fwd_12,0.0014907030954331643,1012,2.0458386319862205,0.04077224976641282,0.11723282639730895
bear_decel,ret_fwd_24,0.003080391217017841,1011,2.7645091227253853,0.005700851305190809,0.06350674859539852
bull_accel,ret_fwd_1,0.0001466645665589906,1199,1.2405850148700392,0.21475909050754838,0.30679870072506915
bull_accel,ret_fwd_3,0.00010684765227705874,1199,0.33976528330283257,0.7340332940974947,0.8635685812911703
bull_accel,ret_fwd_6,0.00045150660459593474,1199,0.9127919744251053,0.36135196005723946,0.45168995007154933
bull_accel,ret_fwd_12,0.0017586556792828513,1199,2.411737971396274,0.01587668714884963,0.06350674859539852
bull_accel,ret_fwd_24,0.0020415484772279913,1199,1.9872641651664174,0.04689313055892358,0.11723282639730895
bull_decel,ret_fwd_1,0.00011964253708561477,2191,1.6101125965824021,0.10737327761699046,0.165189657872293
bull_decel,ret_fwd_3,0.0004941197828064871,2191,2.464001632203971,0.013739548576120529,0.06350674859539852
bull_decel,ret_fwd_6,0.0009578922611271777,2191,2.688780996862738,0.007171345052288178,0.06350674859539852
bull_decel,ret_fwd_12,0.0009207668819608191,2191,1.698401376368251,0.08943203251212063,0.14905338752020106
bull_decel,ret_fwd_24,0.0014876331983230944,2191,1.8732866202236969,0.061028816474394405,0.12800314050162537
