,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
A_hist,-0.011085058770939807,-0.008511220699059224,-0.0053722020886031695,-0.0032755472568756134,-0.0022472810648955913
A_macd,0.01080412311134943,0.02118468936919084,0.03122753148456691,0.043140332316326906,0.04938863000126356
A_signal,0.013394908701616812,0.02317646531359304,0.03250848032410867,0.04221477862680046,0.04938311533968304
A_hist_slope,-0.016152451529398697,-0.015428673989893706,-0.013035630937338165,-0.005424664922592968,-0.0026531976338292035
B_gap,0.01525278257453732,0.024517524886831742,0.03394632210446827,0.04391528647503131,0.04842535522952211
B_gap_norm,0.015622566811059063,0.02494918949656733,0.034622469805383006,0.04495668773474981,0.05016900191304656
B_roc,0.0009613372788375646,0.004076605957440482,0.0021910503357591687,-0.0034088677151348505,-0.015554426331691136
B_zroc,0.005826825297115822,0.010421294021813524,0.011463488575572986,0.011230583010371003,0.008954164250973992
B_gap_acc,0.0015575687343127628,0.007825774443715811,0.014414131356879231,0.02401521555403854,0.03281227845769563
B_roc_slope,-0.006847625475958952,-0.004477293099198905,0.0007258074518880888,0.004944414171318937,0.01025251354169936
