,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
A_hist,-0.0361455499018369,-0.005682572063858733,0.006214954012337185,0.014703689091734447,0.002354064585319038
A_macd,-0.014048368920006894,-0.007769918351127693,-0.00965409590046048,-0.01866467064428553,-0.036462230970640365
A_signal,-0.0033685810188782183,-0.006435024772257077,-0.012237077268405257,-0.02451777716481294,-0.0394708331221329
A_hist_slope,-0.21224531081513445,-0.11749478798877187,-0.08391239425353918,-0.05010917466004798,-0.02965348699497009
B_gap,-0.007520893608164281,-0.012542244045093248,-0.018641986478729826,-0.027458509196486625,-0.03641005590436745
B_gap_norm,-0.007672046508949382,-0.013656448462341313,-0.020648746236395465,-0.030460586815822425,-0.04135533203883945
B_roc,0.005937233401135787,0.006678412513436079,0.005641585104890118,0.007235778915336739,0.004326411839371666
B_zroc,0.0018137830747504196,0.007023061236612364,0.01067357576572102,0.0033130433380824534,0.010111393650704672
B_gap_acc,-0.006336472351726954,0.0019979788374087292,0.0038767572680091884,-0.003966721625386581,-0.01995996644668047
B_roc_slope,0.00422080974659989,0.0016647833998109135,0.0020486134609419646,0.0019573158272845766,0.0016799525863760126
