_decile,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24,count
"(-9.567, -1.838]",-0.001372884537834963,-0.0013787242338938104,-0.0003822076758738496,0.00457992486009928,0.009169703745281864,98
"(-1.838, -0.765]",0.00021162518318821653,-0.0012913145972561126,-0.0029624509874510616,-0.006547035591172972,0.0013981202813536271,97
"(-0.765, -0.271]",0.0007786742718389659,0.0017554197358761697,0.0004524753308550876,0.004142448873979467,0.0008844673190720829,97
"(-0.271, -0.105]",0.0005566715354612112,0.002031250708827699,0.004154757842547928,0.00185364509945633,0.010297235805506804,98
"(-0.105, -0.0603]",0.0015012144852708657,0.002931226423070976,0.00632666564982678,0.009039745844715808,0.008847014560879954,97
"(-0.0603, 0.0639]",-0.0007105670255791852,-0.0006668129824832483,0.0007643442754721049,0.008883372705066749,0.016380306152864555,97
"(0.0639, 0.133]",0.00024783815055729814,0.0003323347423252409,-0.000808181113267982,0.0021838742154038212,0.01237068000350429,98
"(0.133, 0.232]",0.0013689536421421572,0.0045214098888957995,0.007203125154950706,0.00882284980358133,0.02311577388766959,97
"(0.232, 0.965]",-3.5467921634760084e-05,-0.0002251042252574565,0.0028592552237990364,0.007256469938226985,0.00529656872189432,97
"(0.965, 8.396]",0.001716642231031793,0.0048453417648944026,0.00918545995901292,0.016408540810039642,0.018715231655985227,98
