peak_idx,confirm_idx,div_type,price_direction,indicator_direction
10007,10012,bearish,higher_high,lower_high
10021,10026,bearish,higher_high,lower_high
10085,10090,bearish,higher_high,lower_high
10230,10235,bearish,higher_high,lower_high
10252,10257,bearish,higher_high,lower_high
10298,10303,bearish,higher_high,lower_high
10354,10359,bearish,higher_high,lower_high
10426,10431,bearish,higher_high,lower_high
10450,10455,bearish,higher_high,lower_high
10507,10512,bearish,higher_high,lower_high
10735,10740,bearish,higher_high,lower_high
10746,10751,bearish,higher_high,lower_high
10756,10761,bearish,higher_high,lower_high
10898,10903,bearish,higher_high,lower_high
10982,10987,bearish,higher_high,lower_high
11035,11040,bearish,higher_high,lower_high
11059,11064,bearish,higher_high,lower_high
11203,11208,bearish,higher_high,lower_high
11302,11307,bearish,higher_high,lower_high
11324,11329,bearish,higher_high,lower_high
11572,11577,bearish,higher_high,lower_high
11708,11713,bearish,higher_high,lower_high
11745,11750,bearish,higher_high,lower_high
11868,11873,bearish,higher_high,lower_high
11910,11915,bearish,higher_high,lower_high
11971,11976,bearish,higher_high,lower_high
12172,12177,bearish,higher_high,lower_high
12184,12189,bearish,higher_high,lower_high
12451,12456,bearish,higher_high,lower_high
12476,12481,bearish,higher_high,lower_high
12582,12587,bearish,higher_high,lower_high
12724,12729,bearish,higher_high,lower_high
12833,12838,bearish,higher_high,lower_high
12956,12961,bearish,higher_high,lower_high
13003,13008,bearish,higher_high,lower_high
13107,13112,bearish,higher_high,lower_high
13309,13314,bearish,higher_high,lower_high
13357,13362,bearish,higher_high,lower_high
13380,13385,bearish,higher_high,lower_high
13460,13465,bearish,higher_high,lower_high
13598,13603,bearish,higher_high,lower_high
13647,13652,bearish,higher_high,lower_high
13731,13736,bearish,higher_high,lower_high
13831,13836,bearish,higher_high,lower_high
14105,14110,bearish,higher_high,lower_high
14156,14161,bearish,higher_high,lower_high
14169,14174,bearish,higher_high,lower_high
14424,14429,bearish,higher_high,lower_high
14597,14602,bearish,higher_high,lower_high
14611,14616,bearish,higher_high,lower_high
14650,14655,bearish,higher_high,lower_high
14662,14667,bearish,higher_high,lower_high
14746,14751,bearish,higher_high,lower_high
14758,14763,bearish,higher_high,lower_high
14933,14938,bearish,higher_high,lower_high
14944,14949,bearish,higher_high,lower_high
14954,14959,bearish,higher_high,lower_high
14994,14999,bearish,higher_high,lower_high
15005,15010,bearish,higher_high,lower_high
15016,15021,bearish,higher_high,lower_high
15026,15031,bearish,higher_high,lower_high
15052,15057,bearish,higher_high,lower_high
15152,15157,bearish,higher_high,lower_high
15215,15220,bearish,higher_high,lower_high
15278,15283,bearish,higher_high,lower_high
15395,15400,bearish,higher_high,lower_high
15423,15428,bearish,higher_high,lower_high
15504,15509,bearish,higher_high,lower_high
15537,15542,bearish,higher_high,lower_high
15705,15710,bearish,higher_high,lower_high
15781,15786,bearish,higher_high,lower_high
15838,15843,bearish,higher_high,lower_high
16054,16059,bearish,higher_high,lower_high
16074,16079,bearish,higher_high,lower_high
16100,16105,bearish,higher_high,lower_high
16211,16216,bearish,higher_high,lower_high
16377,16382,bearish,higher_high,lower_high
16637,16642,bearish,higher_high,lower_high
16738,16743,bearish,higher_high,lower_high
16751,16756,bearish,higher_high,lower_high
16974,16979,bearish,higher_high,lower_high
16985,16990,bearish,higher_high,lower_high
17101,17106,bearish,higher_high,lower_high
17230,17235,bearish,higher_high,lower_high
17326,17331,bearish,higher_high,lower_high
17347,17352,bearish,higher_high,lower_high
17410,17415,bearish,higher_high,lower_high
17445,17450,bearish,higher_high,lower_high
17456,17461,bearish,higher_high,lower_high
17679,17684,bearish,higher_high,lower_high
17781,17786,bearish,higher_high,lower_high
17829,17834,bearish,higher_high,lower_high
17948,17953,bearish,higher_high,lower_high
18127,18132,bearish,higher_high,lower_high
18149,18154,bearish,higher_high,lower_high
18160,18165,bearish,higher_high,lower_high
18282,18287,bearish,higher_high,lower_high
18327,18332,bearish,higher_high,lower_high
18425,18430,bearish,higher_high,lower_high
18455,18460,bearish,higher_high,lower_high
18521,18526,bearish,higher_high,lower_high
18649,18654,bearish,higher_high,lower_high
18694,18699,bearish,higher_high,lower_high
18726,18731,bearish,higher_high,lower_high
18781,18786,bearish,higher_high,lower_high
18859,18864,bearish,higher_high,lower_high
18926,18931,bearish,higher_high,lower_high
18957,18962,bearish,higher_high,lower_high
18968,18973,bearish,higher_high,lower_high
19058,19063,bearish,higher_high,lower_high
19068,19073,bearish,higher_high,lower_high
19119,19124,bearish,higher_high,lower_high
19146,19151,bearish,higher_high,lower_high
19157,19162,bearish,higher_high,lower_high
19274,19279,bearish,higher_high,lower_high
19456,19461,bearish,higher_high,lower_high
19677,19682,bearish,higher_high,lower_high
19687,19692,bearish,higher_high,lower_high
19909,19914,bearish,higher_high,lower_high
20002,20007,bearish,higher_high,lower_high
20023,20028,bearish,higher_high,lower_high
20054,20059,bearish,higher_high,lower_high
20212,20217,bearish,higher_high,lower_high
20281,20286,bearish,higher_high,lower_high
20292,20297,bearish,higher_high,lower_high
20375,20380,bearish,higher_high,lower_high
20388,20393,bearish,higher_high,lower_high
20639,20644,bearish,higher_high,lower_high
20685,20690,bearish,higher_high,lower_high
20706,20711,bearish,higher_high,lower_high
20720,20725,bearish,higher_high,lower_high
20793,20798,bearish,higher_high,lower_high
20858,20863,bearish,higher_high,lower_high
20873,20878,bearish,higher_high,lower_high
21005,21010,bearish,higher_high,lower_high
21043,21048,bearish,higher_high,lower_high
21053,21058,bearish,higher_high,lower_high
21068,21073,bearish,higher_high,lower_high
21079,21084,bearish,higher_high,lower_high
21121,21126,bearish,higher_high,lower_high
21213,21218,bearish,higher_high,lower_high
21419,21424,bearish,higher_high,lower_high
21432,21437,bearish,higher_high,lower_high
21444,21449,bearish,higher_high,lower_high
21502,21507,bearish,higher_high,lower_high
21518,21523,bearish,higher_high,lower_high
21601,21606,bearish,higher_high,lower_high
21617,21622,bearish,higher_high,lower_high
21761,21766,bearish,higher_high,lower_high
21775,21780,bearish,higher_high,lower_high
21819,21824,bearish,higher_high,lower_high
21833,21838,bearish,higher_high,lower_high
21876,21881,bearish,higher_high,lower_high
21951,21956,bearish,higher_high,lower_high
21991,21996,bearish,higher_high,lower_high
22027,22032,bearish,higher_high,lower_high
22132,22137,bearish,higher_high,lower_high
22149,22154,bearish,higher_high,lower_high
22174,22179,bearish,higher_high,lower_high
22247,22252,bearish,higher_high,lower_high
22258,22263,bearish,higher_high,lower_high
22293,22298,bearish,higher_high,lower_high
22349,22354,bearish,higher_high,lower_high
22388,22393,bearish,higher_high,lower_high
22399,22404,bearish,higher_high,lower_high
22470,22475,bearish,higher_high,lower_high
22481,22486,bearish,higher_high,lower_high
22608,22613,bearish,higher_high,lower_high
22695,22700,bearish,higher_high,lower_high
22710,22715,bearish,higher_high,lower_high
22747,22752,bearish,higher_high,lower_high
22900,22905,bearish,higher_high,lower_high
23041,23046,bearish,higher_high,lower_high
23052,23057,bearish,higher_high,lower_high
23090,23095,bearish,higher_high,lower_high
23105,23110,bearish,higher_high,lower_high
23194,23199,bearish,higher_high,lower_high
23245,23250,bearish,higher_high,lower_high
23308,23313,bearish,higher_high,lower_high
23451,23456,bearish,higher_high,lower_high
23468,23473,bearish,higher_high,lower_high
23552,23557,bearish,higher_high,lower_high
23666,23671,bearish,higher_high,lower_high
23705,23710,bearish,higher_high,lower_high
23767,23772,bearish,higher_high,lower_high
23945,23950,bearish,higher_high,lower_high
24051,24056,bearish,higher_high,lower_high
24151,24156,bearish,higher_high,lower_high
24436,24441,bearish,higher_high,lower_high
24446,24451,bearish,higher_high,lower_high
24698,24703,bearish,higher_high,lower_high
24818,24823,bearish,higher_high,lower_high
24830,24835,bearish,higher_high,lower_high
24861,24866,bearish,higher_high,lower_high
24877,24882,bearish,higher_high,lower_high
25075,25080,bearish,higher_high,lower_high
25358,25363,bearish,higher_high,lower_high
25370,25375,bearish,higher_high,lower_high
25398,25403,bearish,higher_high,lower_high
25626,25631,bearish,higher_high,lower_high
25650,25655,bearish,higher_high,lower_high
25701,25706,bearish,higher_high,lower_high
25764,25769,bearish,higher_high,lower_high
25847,25852,bearish,higher_high,lower_high
25870,25875,bearish,higher_high,lower_high
25925,25930,bearish,higher_high,lower_high
26002,26007,bearish,higher_high,lower_high
26160,26165,bearish,higher_high,lower_high
26489,26494,bearish,higher_high,lower_high
26508,26513,bearish,higher_high,lower_high
26533,26538,bearish,higher_high,lower_high
26703,26708,bearish,higher_high,lower_high
26715,26720,bearish,higher_high,lower_high
26752,26757,bearish,higher_high,lower_high
26792,26797,bearish,higher_high,lower_high
26882,26887,bearish,higher_high,lower_high
26949,26954,bearish,higher_high,lower_high
27042,27047,bearish,higher_high,lower_high
27087,27092,bearish,higher_high,lower_high
27114,27119,bearish,higher_high,lower_high
27128,27133,bearish,higher_high,lower_high
27190,27195,bearish,higher_high,lower_high
27208,27213,bearish,higher_high,lower_high
27315,27320,bearish,higher_high,lower_high
27326,27331,bearish,higher_high,lower_high
27548,27553,bearish,higher_high,lower_high
27778,27783,bearish,higher_high,lower_high
27852,27857,bearish,higher_high,lower_high
27973,27978,bearish,higher_high,lower_high
28170,28175,bearish,higher_high,lower_high
28274,28279,bearish,higher_high,lower_high
28342,28347,bearish,higher_high,lower_high
28379,28384,bearish,higher_high,lower_high
28390,28395,bearish,higher_high,lower_high
28493,28498,bearish,higher_high,lower_high
28532,28537,bearish,higher_high,lower_high
28551,28556,bearish,higher_high,lower_high
28584,28589,bearish,higher_high,lower_high
28801,28806,bearish,higher_high,lower_high
28849,28854,bearish,higher_high,lower_high
28959,28964,bearish,higher_high,lower_high
29050,29055,bearish,higher_high,lower_high
29240,29245,bearish,higher_high,lower_high
29308,29313,bearish,higher_high,lower_high
29320,29325,bearish,higher_high,lower_high
29394,29399,bearish,higher_high,lower_high
29488,29493,bearish,higher_high,lower_high
29498,29503,bearish,higher_high,lower_high
29515,29520,bearish,higher_high,lower_high
29612,29617,bearish,higher_high,lower_high
29622,29627,bearish,higher_high,lower_high
29791,29796,bearish,higher_high,lower_high
30050,30055,bearish,higher_high,lower_high
30093,30098,bearish,higher_high,lower_high
30120,30125,bearish,higher_high,lower_high
30169,30174,bearish,higher_high,lower_high
30193,30198,bearish,higher_high,lower_high
30268,30273,bearish,higher_high,lower_high
30298,30303,bearish,higher_high,lower_high
30313,30318,bearish,higher_high,lower_high
30326,30331,bearish,higher_high,lower_high
30341,30346,bearish,higher_high,lower_high
30416,30421,bearish,higher_high,lower_high
30431,30436,bearish,higher_high,lower_high
30470,30475,bearish,higher_high,lower_high
42,47,bullish,lower_low,higher_low
900,905,bullish,lower_low,higher_low
930,935,bullish,lower_low,higher_low
1021,1026,bullish,lower_low,higher_low
1032,1037,bullish,lower_low,higher_low
1073,1078,bullish,lower_low,higher_low
1096,1101,bullish,lower_low,higher_low
1323,1328,bullish,lower_low,higher_low
1433,1438,bullish,lower_low,higher_low
1448,1453,bullish,lower_low,higher_low
1481,1486,bullish,lower_low,higher_low
1530,1535,bullish,lower_low,higher_low
1619,1624,bullish,lower_low,higher_low
1630,1635,bullish,lower_low,higher_low
1750,1755,bullish,lower_low,higher_low
1871,1876,bullish,lower_low,higher_low
2071,2076,bullish,lower_low,higher_low
2155,2160,bullish,lower_low,higher_low
2317,2322,bullish,lower_low,higher_low
2328,2333,bullish,lower_low,higher_low
2797,2802,bullish,lower_low,higher_low
2828,2833,bullish,lower_low,higher_low
2914,2919,bullish,lower_low,higher_low
2931,2936,bullish,lower_low,higher_low
3005,3010,bullish,lower_low,higher_low
3171,3176,bullish,lower_low,higher_low
3419,3424,bullish,lower_low,higher_low
3431,3436,bullish,lower_low,higher_low
3441,3446,bullish,lower_low,higher_low
3544,3549,bullish,lower_low,higher_low
3629,3634,bullish,lower_low,higher_low
3652,3657,bullish,lower_low,higher_low
3831,3836,bullish,lower_low,higher_low
3974,3979,bullish,lower_low,higher_low
4002,4007,bullish,lower_low,higher_low
4329,4334,bullish,lower_low,higher_low
4370,4375,bullish,lower_low,higher_low
4782,4787,bullish,lower_low,higher_low
5058,5063,bullish,lower_low,higher_low
5077,5082,bullish,lower_low,higher_low
5090,5095,bullish,lower_low,higher_low
5192,5197,bullish,lower_low,higher_low
5296,5301,bullish,lower_low,higher_low
5468,5473,bullish,lower_low,higher_low
5561,5566,bullish,lower_low,higher_low
5603,5608,bullish,lower_low,higher_low
5615,5620,bullish,lower_low,higher_low
5627,5632,bullish,lower_low,higher_low
5660,5665,bullish,lower_low,higher_low
5745,5750,bullish,lower_low,higher_low
5777,5782,bullish,lower_low,higher_low
5955,5960,bullish,lower_low,higher_low
6026,6031,bullish,lower_low,higher_low
6043,6048,bullish,lower_low,higher_low
6075,6080,bullish,lower_low,higher_low
6131,6136,bullish,lower_low,higher_low
6236,6241,bullish,lower_low,higher_low
6363,6368,bullish,lower_low,higher_low
6373,6378,bullish,lower_low,higher_low
6517,6522,bullish,lower_low,higher_low
6560,6565,bullish,lower_low,higher_low
6599,6604,bullish,lower_low,higher_low
6625,6630,bullish,lower_low,higher_low
6737,6742,bullish,lower_low,higher_low
6810,6815,bullish,lower_low,higher_low
6948,6953,bullish,lower_low,higher_low
7180,7185,bullish,lower_low,higher_low
7200,7205,bullish,lower_low,higher_low
7216,7221,bullish,lower_low,higher_low
7268,7273,bullish,lower_low,higher_low
7442,7447,bullish,lower_low,higher_low
7458,7463,bullish,lower_low,higher_low
7502,7507,bullish,lower_low,higher_low
7609,7614,bullish,lower_low,higher_low
7810,7815,bullish,lower_low,higher_low
7891,7896,bullish,lower_low,higher_low
7945,7950,bullish,lower_low,higher_low
8167,8172,bullish,lower_low,higher_low
8181,8186,bullish,lower_low,higher_low
8226,8231,bullish,lower_low,higher_low
8238,8243,bullish,lower_low,higher_low
8372,8377,bullish,lower_low,higher_low
8467,8472,bullish,lower_low,higher_low
8499,8504,bullish,lower_low,higher_low
8509,8514,bullish,lower_low,higher_low
8572,8577,bullish,lower_low,higher_low
8585,8590,bullish,lower_low,higher_low
8632,8637,bullish,lower_low,higher_low
8740,8745,bullish,lower_low,higher_low
8752,8757,bullish,lower_low,higher_low
8764,8769,bullish,lower_low,higher_low
8807,8812,bullish,lower_low,higher_low
8984,8989,bullish,lower_low,higher_low
9049,9054,bullish,lower_low,higher_low
9080,9085,bullish,lower_low,higher_low
9195,9200,bullish,lower_low,higher_low
9207,9212,bullish,lower_low,higher_low
9279,9284,bullish,lower_low,higher_low
9536,9541,bullish,lower_low,higher_low
9562,9567,bullish,lower_low,higher_low
9600,9605,bullish,lower_low,higher_low
9624,9629,bullish,lower_low,higher_low
9634,9639,bullish,lower_low,higher_low
9800,9805,bullish,lower_low,higher_low
10121,10126,bullish,lower_low,higher_low
10158,10163,bullish,lower_low,higher_low
10409,10414,bullish,lower_low,higher_low
10814,10819,bullish,lower_low,higher_low
10827,10832,bullish,lower_low,higher_low
10957,10962,bullish,lower_low,higher_low
11251,11256,bullish,lower_low,higher_low
11274,11279,bullish,lower_low,higher_low
11284,11289,bullish,lower_low,higher_low
11346,11351,bullish,lower_low,higher_low
11360,11365,bullish,lower_low,higher_low
11404,11409,bullish,lower_low,higher_low
11499,11504,bullish,lower_low,higher_low
11509,11514,bullish,lower_low,higher_low
11558,11563,bullish,lower_low,higher_low
11620,11625,bullish,lower_low,higher_low
12034,12039,bullish,lower_low,higher_low
12148,12153,bullish,lower_low,higher_low
12216,12221,bullish,lower_low,higher_low
12267,12272,bullish,lower_low,higher_low
12310,12315,bullish,lower_low,higher_low
12329,12334,bullish,lower_low,higher_low
12562,12567,bullish,lower_low,higher_low
12585,12590,bullish,lower_low,higher_low
12598,12603,bullish,lower_low,higher_low
12633,12638,bullish,lower_low,higher_low
12684,12689,bullish,lower_low,higher_low
12780,12785,bullish,lower_low,higher_low
12807,12812,bullish,lower_low,higher_low
12895,12900,bullish,lower_low,higher_low
12909,12914,bullish,lower_low,higher_low
12932,12937,bullish,lower_low,higher_low
13140,13145,bullish,lower_low,higher_low
13223,13228,bullish,lower_low,higher_low
13234,13239,bullish,lower_low,higher_low
13276,13281,bullish,lower_low,higher_low
13528,13533,bullish,lower_low,higher_low
13760,13765,bullish,lower_low,higher_low
13901,13906,bullish,lower_low,higher_low
13985,13990,bullish,lower_low,higher_low
14126,14131,bullish,lower_low,higher_low
14256,14261,bullish,lower_low,higher_low
14291,14296,bullish,lower_low,higher_low
14303,14308,bullish,lower_low,higher_low
14398,14403,bullish,lower_low,higher_low
14508,14513,bullish,lower_low,higher_low
14553,14558,bullish,lower_low,higher_low
14864,14869,bullish,lower_low,higher_low
15077,15082,bullish,lower_low,higher_low
15133,15138,bullish,lower_low,higher_low
15186,15191,bullish,lower_low,higher_low
15303,15308,bullish,lower_low,higher_low
15325,15330,bullish,lower_low,higher_low
15449,15454,bullish,lower_low,higher_low
15464,15469,bullish,lower_low,higher_low
15476,15481,bullish,lower_low,higher_low
15574,15579,bullish,lower_low,higher_low
15741,15746,bullish,lower_low,higher_low
15757,15762,bullish,lower_low,higher_low
15913,15918,bullish,lower_low,higher_low
16027,16032,bullish,lower_low,higher_low
16180,16185,bullish,lower_low,higher_low
16233,16238,bullish,lower_low,higher_low
16294,16299,bullish,lower_low,higher_low
16307,16312,bullish,lower_low,higher_low
16481,16486,bullish,lower_low,higher_low
16494,16499,bullish,lower_low,higher_low
16525,16530,bullish,lower_low,higher_low
16601,16606,bullish,lower_low,higher_low
16678,16683,bullish,lower_low,higher_low
16848,16853,bullish,lower_low,higher_low
17083,17088,bullish,lower_low,higher_low
17170,17175,bullish,lower_low,higher_low
17180,17185,bullish,lower_low,higher_low
17389,17394,bullish,lower_low,higher_low
17502,17507,bullish,lower_low,higher_low
17523,17528,bullish,lower_low,higher_low
17536,17541,bullish,lower_low,higher_low
17567,17572,bullish,lower_low,higher_low
17657,17662,bullish,lower_low,higher_low
17725,17730,bullish,lower_low,higher_low
17808,17813,bullish,lower_low,higher_low
17861,17866,bullish,lower_low,higher_low
18023,18028,bullish,lower_low,higher_low
18092,18097,bullish,lower_low,higher_low
18108,18113,bullish,lower_low,higher_low
18186,18191,bullish,lower_low,higher_low
18208,18213,bullish,lower_low,higher_low
18481,18486,bullish,lower_low,higher_low
18491,18496,bullish,lower_low,higher_low
18586,18591,bullish,lower_low,higher_low
18896,18901,bullish,lower_low,higher_low
