_decile,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24,count
"(-152.63400000000001, -11.732]",8.462781290155995e-05,-7.303045033555659e-06,1.6867485491799804e-05,-0.00040032930569271853,-0.00035830198137728797,3063
"(-11.732, -7.301]",-6.191026207735556e-07,-1.989471085114965e-05,-4.2689163562853946e-05,0.00015185108890628866,0.00028509081775536597,3063
"(-7.301, -4.496]",3.123563449029814e-05,3.386292491483105e-05,7.088061332270886e-05,0.000263720398785272,0.00031283697040482235,3063
"(-4.496, -2.3]",1.2210619383593315e-05,9.191134671005152e-05,0.00012356263467858824,7.675508836390545e-05,0.00042146223330422717,3063
"(-2.3, -0.294]",-9.595156305330577e-06,6.944375451402971e-05,0.00013473999712754366,0.0002636342566801728,0.0004773682300717296,3063
"(-0.294, 1.753]",2.607366038020726e-05,0.00011850035067595624,0.00025128089681374354,0.0005724845989832922,0.0008594654915421487,3062
"(1.753, 4.151]",6.5386682836756096e-06,4.992364542053571e-05,0.00019838172288760188,0.0005529505212868893,0.0007051571810389846,3063
"(4.151, 7.271]",3.528664193375653e-05,6.385403099725654e-05,0.0001247267397065583,0.0006197235519161232,0.0009739421676316331,3063
"(7.271, 12.561]",2.9276136881796495e-05,0.0001341402805907756,0.00023970369888855826,0.0004015754348812695,0.0011382476167960001,3063
"(12.561, 136.635]",3.379889853303042e-05,0.00018276924324109182,0.0003041217752570736,0.00033292181115429046,0.0008569197554602968,3063
