,cross_correlation
-20,-0.004974934251793405
-19,-0.005443089250338815
-18,-0.00630349704568347
-17,-0.006435718764500181
-16,-0.00622368040530326
-15,-0.006181930536154718
-14,-0.006209485907101687
-13,-0.0056040557524196675
-12,-0.004684615297761033
-11,-0.0031512955277804757
-10,-0.002348344887323162
-9,-0.0020338471080905774
-8,-0.0019140360523863856
-7,-0.001562242404385932
-6,-0.0010226223443445558
-5,-0.0007903689213760123
-4,-0.0005981646999437629
-3,0.00720742561638651
-2,0.011239620294959276
-1,0.013116397876616094
0,0.013518411925291105
1,0.01289099088619571
2,0.011694127715539028
3,0.011323491834426365
4,0.010013580710290407
5,0.008365036141868402
6,0.006874449598490624
7,0.005733983654113717
8,0.0053566864377036115
9,0.005079410454368484
10,0.005237218233971718
11,0.005368208347115434
12,0.004752409590739895
13,0.0035835605641755166
14,0.003291182700034332
15,0.0022375738149291798
16,0.0019428650694718573
17,0.0016385841650720552
18,0.0016121013637613916
19,0.0008612704580606502
20,-8.97255873043602e-05
