state_a,state_b,count,mean_ret,hit_rate,t_stat,p_val_raw
bull_accel,bull_accel,421,0.0012726581702031854,0.6199524940617577,1.3144837140720613,0.18868347513873784
bull_accel,bull_decel,502,0.0014002919170877824,0.5637450199203188,1.2371001618389383,0.2160498997095005
bull_accel,bear_decel,330,0.0015623394066764569,0.603030303030303,1.4369568716738874,0.1507302485604141
bull_accel,bear_accel,541,0.0005838825195254609,0.5481481481481482,0.6134489677545517,0.5395795162538759
bull_decel,bull_accel,292,0.0007044307470891331,0.5958904109589042,0.6721438588742348,0.5014921174024569
bull_decel,bull_decel,608,0.0013253115113227877,0.5723684210526315,1.832548658027884,0.06686971935111256
bull_decel,bear_decel,226,0.0013019500039804257,0.5,0.9163378937103044,0.35948969876553594
bull_decel,bear_accel,565,0.0016903344802555206,0.5893805309734513,1.5942088195036208,0.1108892718033553
bear_decel,bull_accel,217,0.002865759978513346,0.5944700460829493,1.7930805232033893,0.07296004945997281
bear_decel,bull_decel,426,0.0009221289791079245,0.5633802816901409,0.8832223935404692,0.37711612469451405
bear_decel,bear_decel,269,0.0013930933221310805,0.5576208178438662,1.2917761686036668,0.19643467066461873
bear_decel,bear_accel,783,0.0009000663110241619,0.5445161290322581,0.9201816960768137,0.3574778177729879
bear_accel,bull_accel,269,0.0027705404324058535,0.5576208178438662,2.637826785576315,0.008343918938089008
bear_accel,bull_decel,655,0.0001768509191051249,0.5374045801526718,0.24541596148797898,0.8061343713656882
bear_accel,bear_decel,187,0.0017328167049320575,0.5026737967914439,1.0614261447895639,0.288496280445106
bear_accel,bear_accel,862,-0.0002881791427029862,0.5133876600698487,-0.33943150842387804,0.7342846856914418
