state,horizon,mean,count,t_stat,p_val_raw,p_val_adj
bear_accel,ret_fwd_1,2.6274510061310367e-05,24688,2.5157306909456385,0.011878591064712838,0.04751436425885135
bear_accel,ret_fwd_3,9.303579449635909e-05,24688,3.231729748566822,0.0012304336578441721,0.01230433657844172
bear_accel,ret_fwd_6,0.00011647107175515781,24686,3.376738598237009,0.0007335072320328224,0.01230433657844172
bear_accel,ret_fwd_12,0.00013826588952507035,24682,2.5349613893413903,0.011245972061797591,0.04751436425885135
bear_accel,ret_fwd_24,0.00023312841906048,24678,2.6922627628503486,0.007096900638930795,0.0473126709262053
bear_decel,ret_fwd_1,9.320966807879425e-06,22643,1.1439094027226906,0.25266121116114837,0.421102018601914
bear_decel,ret_fwd_3,9.106296053522888e-07,22641,0.04170105919018669,0.9667370095856054,0.9667370095856054
bear_decel,ret_fwd_6,1.4901234806892134e-05,22640,0.49778041316129096,0.6186388228563331,0.68737646984037
bear_decel,ret_fwd_12,6.965694648067291e-05,22638,1.3549455010591207,0.17543492129361493,0.31897258417020896
bear_decel,ret_fwd_24,0.00018290706434034512,22635,2.142124596250333,0.0321834571345838,0.09195273467023944
bull_accel,ret_fwd_1,-7.824705906039053e-06,23370,-0.8046811936639321,0.42100367473024414,0.5284956943138645
bull_accel,ret_fwd_3,-6.02857270108233e-06,23370,-0.23682834083820364,0.8127899641022625,0.8555683832655394
bull_accel,ret_fwd_6,3.1490978985167176e-05,23370,0.832912143065985,0.40489428067774846,0.5284956943138645
bull_accel,ret_fwd_12,0.0001117501328368856,23370,2.021746303373681,0.04320256766093644,0.1080064191523411
bull_accel,ret_fwd_24,0.00020964098408252449,23368,2.3849477120764395,0.017081549003915064,0.056938496679716885
bull_decel,ret_fwd_1,5.9576119076027635e-06,21710,0.8015789546278118,0.4227965554510916,0.5284956943138645
bull_decel,ret_fwd_3,8.728768380855093e-06,21710,0.4985018995418736,0.6181303306814583,0.68737646984037
bull_decel,ret_fwd_6,3.0682539728276756e-05,21710,0.9935743766590108,0.3204301239056916,0.49296942139337163
bull_decel,ret_fwd_12,6.91100141292799e-05,21710,1.3962990601464833,0.16262445671704673,0.31897258417020896
bull_decel,ret_fwd_24,0.00015361519148253535,21707,1.8164906012547053,0.06929514839130631,0.15398921864734735
