,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
A_hist,-0.018325526270455434,-0.035658846553943004,-0.05817122589638402,-0.01872966007126198,-0.015053238065480565
A_macd,-0.03511796679035133,-0.06178234389668545,-0.0829816989739341,-0.09610555716793287,-0.14367767077859367
A_signal,-0.03125131097302423,-0.053829607574241316,-0.0687393725931327,-0.09613356548413311,-0.1480890070906334
A_hist_slope,0.00202689503364444,0.029758387695433066,-0.01860089935431406,-0.04812474552677641,0.005796821607496981
B_gap,-0.04031863185035865,-0.07056004292259484,-0.09485843726295312,-0.1266221422843398,-0.17559499442885768
B_gap_norm,-0.044132040683522326,-0.07785964671464421,-0.1054154912540805,-0.14126316088992188,-0.19268595973355507
B_roc,0.009710395788167955,0.047617009023842416,0.031057125836525885,0.04169786533154363,0.0031601704431566827
B_zroc,0.0690098308120994,0.0879244616602365,0.0916364206266009,0.08532296400714857,0.03388192898491153
B_gap_acc,-0.02514797950101708,-0.04416650693687516,-0.05192917139549285,-0.03885322658384955,-0.06571348237681524
B_roc_slope,-0.01813001010911947,0.0007969647104359146,-0.00921405281031366,-0.00354768852201469,-0.009039714756966827
