_decile,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24,count
"(-5014.442, -62.736]",-0.0017347985510509666,-0.0032436120041422728,-0.005622799265968449,-0.004938239303643302,-0.004632423356754138,98
"(-62.736, -32.293]",0.002289298485067823,0.004623623546575608,0.005744008984367719,0.008024638670293942,0.015081445204766876,97
"(-32.293, -19.094]",-0.0005953659888891052,-0.0009868260982016641,0.0014916807270236312,0.009155011501911768,0.012883932714890248,97
"(-19.094, -10.333]",0.0001342370488797638,0.0027814578289042124,0.005873831923632156,0.007118447053811445,0.014958238456190456,98
"(-10.333, -2.428]",0.0007715987866234582,-0.0008531222837990552,0.000702408279074854,0.00472273591774575,0.017030682482075874,97
"(-2.428, 5.209]",0.0010914143467237038,0.004581789170783051,0.004745270762508273,0.0049701448193191005,0.012863854719053784,97
"(5.209, 14.206]",-0.0009183137253698918,-0.0017008051373451055,-0.002423140423722443,-0.0005733073394119144,0.004120208836758508,98
"(14.206, 24.273]",0.00038636352405265704,0.0013744054585201962,0.003429115566878981,0.003217501299564815,0.008230566031298304,97
"(24.273, 50.724]",0.0023048896668533825,0.005083247999104961,0.010854243906297871,0.01590386449057559,0.021750803895067644,97
"(50.724, 8268.461]",0.0005563449968719025,0.0012679300563960294,0.0021443978330790443,0.008626011608447953,0.004602664127545946,98
