div_type,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
bearish,0.016624974782369684,0.017958770466591112,0.009988647679612939,-0.011853068782883058,-0.04016207004710792
bearish,0.00426664096899243,0.013479398840744228,0.008321883840572308,0.03188796252672299,-0.03799927065029052
bearish,-0.00423520550832579,-0.02579919904447414,-0.05424574439682439,-0.026704115787255067,-0.0018182870793227446
bearish,-0.006508423446183076,-0.0010771660418348317,-0.01849647544919031,-0.03249101700853052,-0.03900206208092527
bearish,0.0016636344265787972,0.001781099583135326,0.018392858118481348,0.023331858189506782,0.019955417875465065
bearish,-0.0036000672012543866,0.00024267119652887637,0.001584029568551859,0.030987245095241756,0.05853442597595149
bearish,0.010014215763702428,0.020668140894013476,0.017461696414468486,0.03822987416416557,0.0274732796293371
bearish,-0.003157328351996447,0.0018223165247053252,-0.009652186272220642,-0.01454553760875521,-0.021352575100760496
bearish,0.001843596559235161,-0.005429264961051339,0.011013124377007522,-0.0038140990142871978,0.004157898622955791
bearish,-0.015930921227871542,-0.0100153101758238,0.0056214518493811205,0.008002520041043404,0.024561135315549487
bearish,0.0025072341547576205,-0.006421519933989095,0.0010660859642623866,0.02477001866218731,0.018905409306544163
bearish,0.017888593078025705,0.01744419414294507,0.011650624616014849,-0.002711447880401452,0.030380913372926477
bearish,0.011025491001589227,0.0017635806080826821,0.01993053567204872,0.03727794445343524,0.050469527401893144
bearish,0.004902386025343652,0.00545673438038885,0.0015847592287363543,0.0018555859060105373,-0.02289331756332158
bearish,0.00844867475747857,0.008146284044323604,0.004044729471932573,0.018918699516986548,0.024327231399926985
bearish,-0.002179545339986877,0.006457986793689363,0.029503503200766223,0.02697918241846864,0.010732395786077875
bullish,-0.007273754413495426,-0.05742266393502171,-0.03370387225200866,-0.03732184880054623,0.007555613675660711
bullish,0.00927032117888582,0.01226179818097095,0.02462405786877042,0.02001763340828333,0.052000944935875815
bullish,0.005737939129964786,0.010067779245084063,0.02968849348850755,0.02503172727670555,0.0038175700896088127
bullish,-0.011572375539443014,-0.02331886527292404,-0.03214272389219841,6.425642875207416e-05,0.00817714875570541
bullish,0.006937299253468199,0.020386142932574014,0.02970057330809417,0.028834454418145583,0.008786410907671627
bullish,-0.012169490145498285,-0.005174175827707406,-0.015458252007001794,0.015882470149397587,-0.018459916741833227
bullish,-0.005771367039365205,0.00814843819827793,-0.005075483181742779,-0.024351678846407432,-0.04078900886560288
bullish,0.004245691517257066,0.007751953560614089,-0.006966309744595334,-0.0057968859570688425,0.012704925444210202
