group,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
aligned,0.005635291172134682,0.0006092765202969641,0.014131827905484506,0.007530576026878233,-0.01709123518302813
tired,-0.0015240759762499279,-0.0005139242251952503,0.014236274671074245,0.03348612644960536,-0.010793384137723905
tired,0.014237397452474765,0.02759330654913761,0.03471042300178295,0.07736944099943499,0.08979714106335379
aligned,0.003349706405061381,0.01206791497831805,0.02777277884410334,0.04387862657283015,0.057999550721546944
aligned,0.005692234059632373,-0.0007310020243324056,-0.0052576696342713225,0.01876723184651019,0.027143298590079024
aligned,0.005318850700090083,0.019425146160080287,0.024616568716900433,0.0028518418463827633,0.008359286198512672
tired,-0.0024844689100183004,0.0017919516349977904,-0.01218982050154438,-0.035199591566453914,-0.003194678232210646
aligned,-0.0020975499907647244,0.000994375327346697,0.001394149631979813,0.05543958727098364,0.07701221841846251
aligned,0.001459415566357869,0.021190447057253037,0.017526335109400604,0.004371572542519964,0.047782511485111145
aligned,-0.0013177310735560388,-0.003281170614799489,0.003228542338436169,-0.03863522734403302,-0.04632705235096579
aligned,0.013636957224483215,0.0046519792855261866,-0.0075335090224420975,-0.040043843780841026,0.03801221545964251
aligned,0.017259626258358862,0.029904025468030504,0.023827203168141242,0.038517835729496186,0.05136707164590559
aligned,0.0039827096020890185,0.009850808338098593,0.013771538021680962,-0.013217717459543032,0.022320768071145025
tired,-0.00354400942945432,0.0065862826924916185,0.008559380077092227,0.02726298939186389,
