group,ret_fwd_1,ret_fwd_3,ret_fwd_6,ret_fwd_12,ret_fwd_24
aligned,0.003462429639594422,0.005486191648100824,0.007984911326079702,0.004033763812063773,-0.01974888156000998
aligned,-0.004700825544108556,-0.003254424507061482,0.006597530190352696,0.0063792044756771915,0.03047008255441086
aligned,0.0031423608809217907,0.0007623871335569188,-0.03152305060924676,-0.02489359727396878,0.0016308388910248883
aligned,0.0018420916128001341,0.005739100364429595,0.0018620487856781942,0.0018620487856781942,0.001103922272763569
tired,-0.010022204075021413,-0.01254631473095269,-0.018073718878863,-0.03501360590128977,0.002206902835237612
aligned,0.0027033887551768387,0.00866033166461988,0.0008626437503831408,0.0021260333108688023,2.0384043392551732e-05
tired,-0.0019658884459990977,-0.00660945253396239,0.007077198405596619,0.012785053824669879,-0.02200439274383803
tired,-0.0002592668399615805,-0.02518916429580198,-0.023347053646355698,-0.019103369697962114,-0.017772956451139743
aligned,-0.0015407896546980604,-0.0035562044297702267,0.0033567134406382593,0.016370890081166545,0.01877148851286292
aligned,0.0019874761775116045,0.008133678192213445,0.009658310645249246,0.01732915872583729,0.003614211815954338
aligned,0.0022847447346250327,0.01480707666385861,0.017765796124684208,0.016512215669755692,0.01649199663016021
aligned,0.00027105342950917155,-0.0028554436528039906,-0.006234077596594112,-0.006965280798298612,-0.002439417831367141
tired,-0.00015789207760708024,-0.0029241675929668753,-0.007875663146725942,-0.010850349888844035,0.003025212206952288
aligned,-0.0005243510321270017,0.0006380797189828868,0.0046434054460096075,0.0001705803951670415,-0.00951424299549719
aligned,0.0009683056089735409,0.0021770911921288327,0.0034048756931877033,0.009189356360646217,-0.002974514128780692
tired,0.0005936067329754824,0.0036121664347736893,0.0028733091862114257,0.0009472447866629707,-0.002639649157202495
tired,0.0007845320645847309,0.0030242382446727945,0.0038150971807460188,0.010508933542541898,0.027389026674090156
aligned,0.0005199031145255439,0.00749272135639667,0.010453104739069907,0.013382917818608897,0.013126018398453843
aligned,0.0015666551833501963,0.00511732329902026,0.009012769152211497,0.007966320116417958,0.020384585263726773
aligned,-0.0008418522900502934,0.0007451480057336646,0.008560669836863877,0.01884484994653124,0.012007690382471292
tired,0.0005031167524194302,0.006044050149111024,0.007839199489365622,0.006550152220748284,0.018632734201628587
aligned,0.000513712557877577,0.0006340036180876307,-0.011306572729323672,-0.02412151622345604,-0.01985353344770202
aligned,-0.00021036899988957636,-0.001962174670828487,-0.0026650577489694127,-0.0009686006888200982,0.001278530769798003
aligned,0.0003620041488965331,-0.0060557421382446686,0.032799141361183004,0.00250132661519209,-0.006694135968377868
tired,0.004991970504266696,0.005179640305015276,-0.004466518159992328,-0.01855618935464809,0.007861944135331589
aligned,0.0007696116089854765,0.002556104952819327,0.0011545322945996084,0.0029725490181662373,-0.008107758124324072
aligned,0.0009051616781428073,0.001013514883064781,-0.004771454291924715,-0.0028968313693965575,0.008192664558325014
