feature,mean_worked,mean_failed,effect_size,t_stat,p_val,n_worked,n_failed
A_macd,-4.142722301405944,0.16568182836784795,-0.7766970767618907,-4.489372586020761,1.8926404918864245e-05,89,44
A_signal,-2.055917328785208,1.5605586452429754,-0.6624785287170657,-3.9657107562999516,0.0001300167093279698,89,44
B_gap_norm,-0.0016839369107424095,-0.0009561040753699238,-0.5553182385217257,-3.907121250644902,0.0001520112124355255,89,44
B_gap,-29.534450953336304,-17.761999086613866,-0.5414397422387678,-3.728595405653268,0.00028698378214977516,89,44
A_macd_15m,-24.23774206649677,-13.969503029242912,-0.5408254662220139,-3.754309164882569,0.0002626599440304245,89,44
B_zroc_1d,0.2264417488516443,0.11315481681434615,0.5217143853217306,3.783060969706445,0.00024668175147975766,89,44
B_gap_norm_15m,-0.002164798831203931,-0.00128159010810262,-0.5174614213456602,-3.2604691667590657,0.0014372919692065516,89,44
B_gap_15m,-38.57111763075094,-23.89862603961352,-0.48326618994706483,-2.9937531381232168,0.0033483458076876502,89,44
A_signal_15m,-28.719570035960317,-18.83547474863032,-0.48213422236828407,-3.335873712884897,0.0011119661731643692,89,44
B_gap_acc_15m,-6.041007219757089,-2.984567405811173,-0.4601264887617349,-3.2839420690971735,0.0013381305868803129,89,44
A_macd_1h,-32.452466819737516,-19.21434227190548,-0.447862682194545,-2.715900179400276,0.007635971608057264,89,44
A_signal_1h,-13.21452672468699,-4.696668340292594,-0.3723418908771401,-2.1396825491200806,0.03481610901398869,89,44
A_state_1h_ord,-1.202247191011236,-1.0681818181818181,-0.37047323892772,-2.3299130190003994,0.021437372450750117,89,44
B_state_1h_ord,-1.7752808988764044,-1.9090909090909092,0.3500505822033632,2.1421956112035825,0.034255709985692065,89,44
A_state_1d_ord,-1.8764044943820224,-1.75,-0.34204838023780165,-1.6904541190114615,0.09551697805480856,89,44
B_roc_slope_1d,-51.06940015610151,-3.73211303480561,-0.33545662159303075,-2.5918900781654584,0.011167901808816414,89,44
A_macd_sign,-0.550561797752809,-0.2727272727272727,-0.3137122549629336,-1.6191209968695321,0.10959313278359221,89,44
A_macd_sign_1d,0.5955056179775281,0.8181818181818182,-0.3003948598460313,-1.8168324543239414,0.07187830558123684,89,44
bar_in_session,41.96629213483146,47.61363636363637,-0.2878429062080199,-1.8681863987815701,0.06400807339049458,89,44
B_zroc_extreme_1h,0.47191011235955055,0.6136363636363636,-0.28405336466438186,-1.551392943866411,0.12442679300782274,89,44
B_gap_acc,1.9593253717548067,2.5014576609561447,-0.2660005316383487,-1.4452175070697373,0.15202791173393232,89,44
B_gap_norm_1d,0.011819018569339434,0.014895897047734,-0.2592341317457616,-1.5670890087444616,0.11987765339959978,89,44
B_gap_acc_1h,-23.838080028084875,-18.57126969047617,-0.2557137105644049,-1.653577369837347,0.1006581161711332,89,44
B_gap_1d,225.42550075811036,280.2734276529192,-0.25203393377628935,-1.518154853135072,0.1317791770723512,89,44
A_hist_zero_cross_1d,-0.1797752808988764,-0.09090909090909091,-0.24844812919037065,-1.4815958938753395,0.14131048980697672,89,44
A_state_ord,-1.5842696629213484,-1.7045454545454546,0.2481419819579129,1.3795518761416852,0.17108752824584628,89,44
B_roc_slope,1.9383965015104203,0.8932015370079722,0.24379611208448648,1.556683579501633,0.12204899913991035,89,44
A_macd_sign_15m,-0.7752808988764045,-0.9090909090909091,0.2331708237431498,1.4454728262387564,0.15093338858105468,89,44
B_gap_norm_1h,0.0011124585080508973,0.0023264769252521697,-0.22044383325412925,-1.4856169299880482,0.13978445110290874,89,44
