split_feature,threshold,gain,node_depth,count
A_macd_15m,-0.9658512631285702,196.10800170898438,1,58080
A_hist_slope_1h,-0.6738515172813883,125.21299743652344,2,34224
B_roc_slope_1h,-3.7143264233330924,99.31490325927734,2,23856
