feature,direction,midpoint,effect_size,n_before,mean_ret_before,hit_rate_before,t_stat_before,n_after,mean_ret_after,hit_rate_after,t_stat_after
A_macd,<,-1.988520236519048,-0.7766970767618907,133,0.0022536271885926374,0.6691729323308271,2.1703761419896668,69,0.003550145925059892,0.7246376811594203,1.8036155444277626
A_signal,<,-0.24767934177111628,-0.6624785287170657,133,0.0022536271885926374,0.6691729323308271,2.1703761419896668,69,0.003062393693143671,0.7101449275362319,1.5355709199789143
B_gap_norm,<,-0.0013200204930561665,-0.5553182385217257,133,0.0022536271885926374,0.6691729323308271,2.1703761419896668,55,0.00440110805118178,0.8545454545454545,2.034185814378508
B_gap,<,-23.648225019975087,-0.5414397422387678,133,0.0022536271885926374,0.6691729323308271,2.1703761419896668,55,0.004164038584651908,0.7818181818181819,1.8932732849141445
A_macd_15m,<,-19.10362254786984,-0.5408254662220139,133,0.0022536271885926374,0.6691729323308271,2.1703761419896668,59,0.003795666132932711,0.7288135593220338,1.7791231194414172
B_zroc_1d,>,0.16979828283299522,0.5217143853217306,133,0.0022536271885926374,0.6691729323308271,2.1703761419896668,41,0.006074439855518645,0.8780487804878049,2.911274783218897
B_gap_norm_15m,<,-0.0017231944696532754,-0.5174614213456602,133,0.0022536271885926374,0.6691729323308271,2.1703761419896668,61,0.0038544524883948393,0.7868852459016393,1.900997888495827
