feature,mean_worked,mean_failed,effect_size,t_stat,p_val,n_worked,n_failed
A_hist_slope_15m,-1.1205382711377811,-0.39988344434991707,-0.6860034694019395,-3.0294559600437396,0.003943488380980883,55,21
B_gap_acc,-5.604444484442865,-2.982136744179332,-0.6030009774556048,-2.632284926623137,0.011472197993568235,55,21
B_roc_slope_1d,-6.954964629004518,-19.245678624812392,0.5396923942449354,1.3784884194100342,0.1826474773590787,55,21
A_macd_sign,-0.6727272727272727,-0.23809523809523808,-0.5291835438584479,-1.8156495035301556,0.07976880796357422,55,21
A_hist_zero_cross_15m,-0.05454545454545454,-0.19047619047619047,0.47443828787604125,1.4602913764237067,0.15660560662884454,55,21
A_macd,-12.821793187249204,-6.619126562928397,-0.45082556755733405,-2.155507742494052,0.03526676721847284,55,21
B_roc_slope_15m,6.43016340914309,-2.961846777419141,0.432044463863326,1.7175777005985122,0.09407932341146766,55,21
B_roc_slope_1h,-3.1499056973472954,-0.115176578583165,-0.40030191040060603,-1.988896444814909,0.05100812056298302,55,21
A_hist_zero_cross,-0.10909090909090909,-0.23809523809523808,0.3667680389070141,1.237334983832753,0.22612730255027957,55,21
B_state_15m_ord,1.690909090909091,1.5238095238095237,0.3488003807532064,1.303781271041975,0.20121016282720475,55,21
A_hist_slope_1h,-4.333442134070288,-3.424629102716232,-0.3445563392234074,-1.4525720247277891,0.15362708398480446,55,21
B_state_1d_ord,-1.8727272727272728,-2.0,0.3443460926507977,2.181511587352997,0.03351820054917991,55,21
A_signal,-9.434190830036563,-5.269727614419692,-0.32934092368173623,-1.570144272332933,0.12183750087898187,55,21
B_zroc_1h,-0.06031183127954357,-0.02175253022147878,-0.31082253281023914,-1.4477559660390904,0.15340474536913712,55,21
B_zroc_15m,1.5820305281175149,1.162368791233727,0.3068146295387157,1.4023296005841122,0.16675073199659177,55,21
A_macd_sign_15m,-0.6727272727272727,-0.42857142857142855,-0.30554355338290984,-1.0816274357601312,0.2879038245484055,55,21
A_macd_sign_1h,-0.6727272727272727,-0.42857142857142855,-0.30554355338290984,-1.0816274357601312,0.2879038245484055,55,21
B_state_1h_ord,-1.3272727272727274,-1.1904761904761905,-0.3003838520096979,-1.2600145767631266,0.2145618930464108,55,21
A_signal_1h,-37.79257994743804,-29.602983222899876,-0.2844837296212657,-1.276420856761654,0.20773544194642868,55,21
A_state_1d_ord,-1.0909090909090908,-1.0,-0.2675195902007909,-1.6947980485980947,0.09587387678327704,55,21
bar_in_session,45.21818181818182,50.333333333333336,-0.23900105948821387,-1.0290162326501482,0.3089712312350505,55,21
B_gap_norm_1h,-0.007264905792058893,-0.006346115237884958,-0.22932942705989426,-0.9703462292376538,0.337274573010047,55,21
A_macd_sign_1d,-0.6981132075471698,-0.5238095238095238,-0.227116871208296,-0.8114647282009122,0.42319752745171507,55,21
B_gap_1h,-130.61893829468804,-115.73005511410659,-0.20842254710438562,-0.8641420263097948,0.3925057985628364,55,21
B_zroc_extreme_1d,0.5283018867924528,0.6190476190476191,-0.18069053136743085,-0.7046701305366981,0.4854045040368604,55,21
A_macd_zero_cross_1d,-0.018867924528301886,0.0,-0.16163173753210963,-1.0000000000000002,0.32194134817283365,55,21
A_macd_1d,-97.05800236487315,-83.1272695179186,-0.15954189030426166,-0.5785860939865731,0.5668821440989527,55,21
A_macd_zero_cross_1h,0.01818181818181818,0.0,0.1578474735807479,1.0,0.32177063843224357,55,21
A_macd_1h,-23.070646001989736,-16.817124314344603,-0.1544817117241932,-0.8008266746689302,0.4259658783056709,55,21
B_gap_acc_1d,-82.2895818619913,-76.52036488289498,-0.1523580678757319,-0.5873027252225584,0.560634760837086,55,21
A_state_ord,-1.5454545454545454,-1.4761904761904763,-0.13714709341194042,-0.530249182457624,0.5992269562196731,55,21
A_hist_slope,-0.13412335480761717,0.006406635086918406,-0.12571015013832504,-0.4346481383600156,0.6669952741700695,55,21
A_hist_slope_1d,8.398661731258747,9.42408824482833,-0.12385110626665158,-0.6348142985043151,0.527646855595009,55,21
B_zroc_extreme_15m,0.23636363636363636,0.19047619047619047,0.10879106901182507,0.43648387929626087,0.6649285112846122,55,21
A_state_15m_ord,-1.8,-1.7619047619047619,-0.09228629464005822,-0.3472794481039404,0.7305306119227734,55,21
B_gap_15m,-8.935874005765601,-5.031215932211039,-0.09100806185578326,-0.496048718634312,0.6213379568862345,55,21
B_gap_norm_1d,0.009306224658667664,0.00867996248220249,0.08453108937424648,0.30641643715438255,0.7612561144420366,55,21
B_zroc_1d,-1.7097009901203248,-1.8422167475407056,0.08084720222761278,0.3188896939808183,0.7515518981634439,55,21
