rule_id,A_5m,B_5m,A_15m,B_15m,A_1h,B_1h,A_1d,B_1d,n,frequency,mean_ret,hit_rate,t_stat,p_val_raw,p_val_bonf,composite
151,True,True,True,False,True,False,False,True,324,0.005578512396694215,0.001435827060551462,0.6820987654320988,3.382505690741962,0.000718277897003327,0.1838791416328517,1.4585708776263133e-06
121,True,False,False,True,True,True,True,False,211,0.0036329201101928375,0.0018940715027100142,0.6919431279620853,3.6905140973614583,0.00022380128471776074,0.05729312888774675,1.320762669761632e-06
26,False,True,False,True,True,False,False,False,76,0.0013085399449035812,0.0034056174157723724,0.7236842105263158,1.9113506445950632,0.05595953480190687,1.0,9.968232794099576e-07
0,False,False,False,False,False,False,False,False,722,0.012431129476584021,0.0005336834055971233,0.6371191135734072,1.75222913795033,0.07973441523378443,1.0,9.09687623176915e-07
140,False,False,True,True,False,False,False,True,133,0.002289944903581267,0.0022536271885926374,0.6691729323308271,2.1703761419896668,0.02997836266765733,1.0,8.730477228535528e-07
31,True,True,True,True,True,False,False,False,687,0.011828512396694215,0.0005844240666100161,0.6171761280931587,1.1817779754680413,0.2372938090699832,1.0,8.100230262070645e-07
182,False,True,True,False,True,True,False,True,160,0.0027548209366391185,0.0012437014540033404,0.68125,2.085209491680997,0.037050288696434175,1.0,6.209941833005661e-07
211,True,True,False,False,True,False,True,True,51,0.0008780991735537191,0.0019443008875941628,0.8431372549019608,1.8494192185703335,0.06439730245390375,1.0,5.858344616545774e-07
231,True,True,True,False,False,True,True,True,184,0.0031680440771349864,0.0009304535975369379,0.6956521739130435,2.179387522880551,0.029302892240934377,1.0,5.767274364898376e-07
150,False,True,True,False,True,False,False,True,368,0.006336088154269973,0.0007708137656487648,0.6114130434782609,1.574217985094229,0.1154370628129397,1.0,5.441350618388319e-07
181,True,False,True,False,True,True,False,True,176,0.0030303030303030303,0.0014688607365211028,0.6193181818181818,2.0611835157656397,0.0392855355560146,1.0,5.310963406842828e-07
215,True,True,True,False,True,False,True,True,75,0.0012913223140495868,0.001990509332987453,0.6933333333333334,1.9561333273715094,0.05044945006716584,1.0,4.969418961487271e-07
189,True,False,True,True,True,True,False,True,10,0.0001721763085399449,0.005767290361034317,1.0,,,,4.964953823204474e-07
37,True,False,True,False,False,True,False,False,889,0.015306473829201101,0.00047542187197064354,0.5658042744656918,1.4384589507046956,0.15030387657233069,1.0,4.78859840053076e-07
208,False,False,False,False,True,False,True,True,129,0.0022210743801652894,0.0008591410667428003,0.7364341085271318,1.4019644531252513,0.16092586186199198,1.0,4.511673990298796e-07
27,True,True,False,True,True,False,False,False,266,0.004579889807162534,0.0009697920739920758,0.5977443609022557,1.810673578213012,0.07019139515559727,1.0,4.341355703132573e-07
173,True,False,True,True,False,True,False,True,101,0.0017389807162534435,0.0016776958933385632,0.6435643564356436,1.4291752988636788,0.15295385540420706,1.0,4.188462543631055e-07
207,True,True,True,True,False,False,True,True,107,0.0018422865013774106,0.0015808524446135814,0.6355140186915887,2.075976369788384,0.03789613655191299,1.0,3.9466874047687543e-07
84,False,False,True,False,True,False,True,False,33,0.0005681818181818182,0.004988842594736033,0.6363636363636364,1.3853034853240804,0.1659596884661998,1.0,3.8653222583182074e-07
120,False,False,False,True,True,True,True,False,654,0.011260330578512397,0.0004239150668186313,0.5795107033639144,1.4814268556799015,0.13849286273168265,1.0,3.7953828296433953e-07
