feature,direction,midpoint,effect_size,n_before,mean_ret_before,hit_rate_before,t_stat_before,n_after,mean_ret_after,hit_rate_after,t_stat_after
A_signal_1d,<,73.76541529928201,-0.7317999399229059,324,0.001435827060551462,0.6820987654320988,3.382505690741962,135,0.0030218089299636547,0.837037037037037,4.6655447683593785
A_macd_1d,<,29.03355288663344,-0.7274034983375885,324,0.001435827060551462,0.6820987654320988,3.382505690741962,135,0.0030218089299636547,0.837037037037037,4.6655447683593785
bar_in_session,>,33.38613100206476,0.719685573584527,324,0.001435827060551462,0.6820987654320988,3.382505690741962,164,0.002316668019210491,0.8048780487804879,3.259016233800543
B_gap_acc_1h,>,-4.181921010946147,0.716222072708935,324,0.001435827060551462,0.6820987654320988,3.382505690741962,150,0.0029391422526367653,0.8533333333333334,5.0410681194694815
B_gap_acc_1d,<,-7.111907411350527,-0.7132454046274402,324,0.001435827060551462,0.6820987654320988,3.382505690741962,135,0.0030218089299636547,0.837037037037037,4.6655447683593785
B_gap_1h,<,-38.90256158822958,-0.6869284022380743,324,0.001435827060551462,0.6820987654320988,3.382505690741962,135,0.0030218089299636547,0.837037037037037,4.6655447683593785
B_gap_norm_1h,<,-0.0026924755955859475,-0.6833122974970753,324,0.001435827060551462,0.6820987654320988,3.382505690741962,135,0.0030218089299636547,0.837037037037037,4.6655447683593785
B_gap_norm_1d,<,0.006730380390525741,-0.6594509838855401,324,0.001435827060551462,0.6820987654320988,3.382505690741962,144,0.0028973630782912047,0.8333333333333334,4.91882419175052
B_gap_1d,<,135.12427785062758,-0.6487805053552385,324,0.001435827060551462,0.6820987654320988,3.382505690741962,144,0.0028973630782912047,0.8333333333333334,4.91882419175052
B_state_1h_ord,<,-1.3624522251021394,-0.6273342079482723,324,0.001435827060551462,0.6820987654320988,3.382505690741962,135,0.0030218089299636547,0.837037037037037,4.6655447683593785
A_macd_sign_1d,<,0.2750955497957211,-0.6273342079482722,324,0.001435827060551462,0.6820987654320988,3.382505690741962,135,0.0030218089299636547,0.837037037037037,4.6655447683593785
A_state_1d_ord,>,-1.6281685190879938,0.6238000535667608,324,0.001435827060551462,0.6820987654320988,3.382505690741962,138,0.002558029515324525,0.8333333333333334,4.495388923310295
A_hist_slope_1d,>,-1.6200070151701584,0.5887322485376087,324,0.001435827060551462,0.6820987654320988,3.382505690741962,150,0.0022447200652012424,0.78,3.8276653189910577
