horizon,signed_ret,abs_ret_event,abs_ret_baseline
ret_fwd_3,-4.57474284147796e-05,0.0008707314714302351,0.001069676913654542
ret_fwd_6,-0.00021128266800116686,0.001832526639762117,0.0015568815904820632
ret_fwd_12,8.228644263058602e-05,0.0025141855122982975,0.0022693601856918068
