bar_close,direction,followed_through,lag_bars
2021-01-14 13:15:00+05:30,-1,False,
2021-01-20 14:15:00+05:30,1,False,
2021-01-22 11:15:00+05:30,-1,False,
2021-01-29 13:15:00+05:30,1,False,
2021-02-02 10:15:00+05:30,-1,False,
2021-02-04 12:15:00+05:30,1,False,
2021-02-11 10:15:00+05:30,-1,False,
2021-02-11 15:15:00+05:30,1,False,
2021-02-12 14:15:00+05:30,-1,False,
2021-02-15 11:15:00+05:30,1,False,
2021-02-16 15:15:00+05:30,-1,False,
2021-02-25 13:15:00+05:30,1,False,
2021-02-26 12:15:00+05:30,-1,False,
2021-03-01 15:15:00+05:30,1,False,
2021-03-02 15:15:00+05:30,-1,False,
2021-03-04 15:15:00+05:30,1,False,
2021-03-05 15:15:00+05:30,-1,False,
2021-03-09 10:15:00+05:30,1,False,
2021-03-09 11:15:00+05:30,-1,False,
2021-03-09 15:15:00+05:30,1,False,
2021-03-15 11:15:00+05:30,-1,False,
2021-03-18 14:15:00+05:30,1,False,
2021-03-23 12:15:00+05:30,-1,False,
2021-03-24 13:15:00+05:30,1,False,
2021-03-30 10:15:00+05:30,-1,False,
2021-04-05 14:15:00+05:30,1,False,
2021-04-06 12:15:00+05:30,-1,False,
2021-04-09 14:15:00+05:30,1,False,
2021-04-12 10:15:00+05:30,-1,False,
2021-04-13 13:15:00+05:30,1,False,
2021-04-16 11:15:00+05:30,-1,False,
2021-04-19 12:15:00+05:30,1,False,
2021-04-23 12:15:00+05:30,-1,False,
2021-04-30 10:15:00+05:30,1,False,
2021-05-03 10:15:00+05:30,-1,False,
2021-05-06 14:15:00+05:30,1,False,
2021-05-12 11:15:00+05:30,-1,False,
2021-05-17 14:15:00+05:30,1,False,
2021-05-20 15:15:00+05:30,-1,False,
2021-05-21 12:15:00+05:30,1,False,
2021-06-02 13:15:00+05:30,-1,False,
2021-06-03 13:15:00+05:30,1,False,
2021-06-08 11:15:00+05:30,-1,False,
2021-06-15 14:15:00+05:30,1,False,
2021-06-16 11:15:00+05:30,-1,False,
2021-06-22 12:15:00+05:30,1,False,
2021-06-23 13:15:00+05:30,-1,False,
2021-06-25 12:15:00+05:30,1,False,
2021-06-29 10:15:00+05:30,-1,False,
2021-07-05 13:15:00+05:30,1,False,
2021-07-08 13:15:00+05:30,-1,False,
2021-07-13 15:15:00+05:30,1,False,
2021-07-19 12:15:00+05:30,-1,False,
2021-07-23 10:15:00+05:30,1,False,
2021-07-27 13:15:00+05:30,-1,False,
2021-07-29 12:15:00+05:30,1,False,
2021-07-29 15:15:00+05:30,-1,False,
2021-08-03 12:15:00+05:30,1,False,
2021-08-09 14:15:00+05:30,-1,False,
2021-08-13 12:15:00+05:30,1,False,
2021-08-20 10:15:00+05:30,-1,False,
2021-08-25 10:15:00+05:30,1,False,
2021-08-26 14:15:00+05:30,-1,False,
2021-08-30 10:15:00+05:30,1,False,
2021-09-08 12:15:00+05:30,-1,False,
2021-09-16 11:15:00+05:30,1,False,
2021-09-20 11:15:00+05:30,-1,False,
2021-09-23 12:15:00+05:30,1,False,
2021-09-28 12:15:00+05:30,-1,False,
2021-10-05 15:15:00+05:30,1,False,
2021-10-07 13:15:00+05:30,-1,False,
2021-10-07 14:15:00+05:30,1,False,
2021-10-20 13:15:00+05:30,-1,False,
2021-10-27 14:15:00+05:30,1,False,
2021-10-28 10:15:00+05:30,-1,False,
2021-11-02 10:15:00+05:30,1,False,
2021-11-08 14:15:00+05:30,-1,False,
2021-11-11 11:15:00+05:30,1,False,
2021-11-12 14:15:00+05:30,-1,False,
2021-11-15 13:15:00+05:30,1,False,
2021-11-16 10:15:00+05:30,-1,False,
2021-11-22 13:15:00+05:30,1,False,
2021-12-01 15:15:00+05:30,-1,False,
2021-12-06 14:15:00+05:30,1,False,
2021-12-07 14:15:00+05:30,-1,False,
2021-12-14 13:15:00+05:30,1,False,
2021-12-22 15:15:00+05:30,-1,False,
2022-01-03 12:15:00+05:30,1,True,3.0
2022-01-17 10:15:00+05:30,-1,False,
2022-01-17 12:15:00+05:30,1,False,
2022-01-18 10:15:00+05:30,-1,False,
2022-01-25 13:15:00+05:30,1,False,
2022-01-31 10:15:00+05:30,-1,False,
