group,horizon,n_5m,n_htf,mean_ret,hit_rate,t_stat,p_val_raw
bull_accel,ret_fwd_3,3357,170,-7.729764951588941e-07,0.528448019064641,-0.0189899974686856,0.9848490848360371
bull_accel,ret_fwd_6,3357,170,8.120406629898894e-05,0.5329162943103962,1.2274302245639686,0.2196609321898888
bull_accel,ret_fwd_12,3357,170,8.352511435141371e-05,0.5218945487042002,0.7334830752480717,0.46326384677651833
bull_decel,ret_fwd_3,5649,276,4.776913153887955e-05,0.539387502212781,1.7762580065797204,0.07569040130965203
bull_decel,ret_fwd_6,5649,276,8.742466531909964e-05,0.5432973260138126,1.819261446490424,0.06887155226990144
bull_decel,ret_fwd_12,5649,276,0.0001610601377872317,0.5433280170122275,1.8468751283514517,0.0647652401790331
bear_decel,ret_fwd_3,3324,164,1.2193008927561718e-05,0.5225631768953068,0.3359820901909475,0.7368843721780012
bear_decel,ret_fwd_6,3324,164,3.2561217432556696e-05,0.5153429602888087,0.4673775685861239,0.6402297683642884
bear_decel,ret_fwd_12,3324,164,-9.635090667811134e-05,0.5300842358604091,-0.7495350722001279,0.45353476789681946
bear_accel,ret_fwd_3,7032,361,0.0001416490609823895,0.540386803185438,1.8572138473346054,0.06328073567452464
bear_accel,ret_fwd_6,7032,361,0.00010588164287818019,0.5328498293515358,1.2992092223926315,0.1938721373914224
bear_accel,ret_fwd_12,7032,361,0.0001446893748401219,0.5362627986348123,1.1802824576624018,0.23788789280773548
unconditional,ret_fwd_3,24688,971,9.303579449635909e-05,0.5369410239792611,3.231729748566785,0.0012304336578443289
unconditional,ret_fwd_6,24688,971,0.00011647107175515781,0.5384023333063275,3.3767385982369875,0.0007335072320328787
unconditional,ret_fwd_12,24688,971,0.00013826588952507035,0.5397050482132728,2.534961389341403,0.011245972061797175
