score,horizon,n,mean_ret,hit_rate,t_stat,p_val_raw
0,ret_fwd_3,743,0.0002522070965076794,0.5572005383580081,2.564518116070171,0.01033191856052665
0,ret_fwd_6,743,0.0003968738543882402,0.5935397039030955,2.2258853734339903,0.02602186032946155
0,ret_fwd_12,743,0.0005406883803791509,0.6379542395693136,1.825438225095294,0.06793492535968952
1,ret_fwd_3,5032,5.0027057688004e-05,0.5242448330683624,0.8959772234179721,0.3702649279967609
1,ret_fwd_6,5032,6.7326334269344e-05,0.5347774244833068,0.8134041601519586,0.41598637493672996
1,ret_fwd_12,5032,0.00011266024368404264,0.5335850556438791,0.8725230137645038,0.3829231188878377
2,ret_fwd_3,15691,1.0295088247515509e-05,0.5165381428844561,0.41991306985585514,0.6745489595292954
2,ret_fwd_6,15689,-1.3948519555200252e-06,0.5190260692204729,-0.03163895882820634,0.9747599742787219
2,ret_fwd_12,15683,-1.3436949165516087e-05,0.5120193840464197,-0.17704140037635635,0.8594758703856539
3,ret_fwd_3,25093,1.2527410810330014e-05,0.5088271629538118,0.5956979106052269,0.5513770542724188
3,ret_fwd_6,25092,4.512768300389182e-05,0.5113980551570222,1.2909061864501752,0.1967362099622959
3,ret_fwd_12,25092,9.128450320339822e-05,0.5143073489558425,1.6359740964622569,0.10184500883569172
4,ret_fwd_3,24800,1.7077240333863866e-05,0.5164516129032258,0.8627249499389659,0.3882887111774954
4,ret_fwd_6,24800,2.3964746473518286e-05,0.5175806451612903,0.6769729339748014,0.4984231272666466
4,ret_fwd_12,24800,3.389787346418996e-05,0.516491935483871,0.568007125344011,0.5700301296898929
5,ret_fwd_3,13418,7.101281116248952e-05,0.5275748993888806,2.347778662836699,0.018885740247668266
5,ret_fwd_6,13418,0.0001139415534328648,0.5344313608585483,2.748334532108176,0.005989885999636903
5,ret_fwd_12,13418,0.0002352776099875473,0.550454613206141,3.292197644434822,0.0009940772391882572
6,ret_fwd_3,4945,-1.5402953810614647e-05,0.5267947421638018,-0.18430536205499753,0.8537739076736829
6,ret_fwd_6,4945,0.00011446941501978223,0.5530839231547017,1.5581412452554146,0.11919976925619725
6,ret_fwd_12,4945,0.00032025625696639623,0.5737108190091001,3.4719198613793454,0.0005167505704940119
7,ret_fwd_3,2116,7.552517687615937e-05,0.552930056710775,0.9502087571628711,0.34200618983956943
7,ret_fwd_6,2116,8.42987843670432e-05,0.5623818525519849,0.5572143684616381,0.5773809738179505
7,ret_fwd_12,2116,0.00017876467519429794,0.5784499054820416,0.9453836455721104,0.34446304856037135
8,ret_fwd_3,571,-1.56333228305187e-05,0.532399299474606,-0.1885879612019028,0.8504157690698932
8,ret_fwd_6,571,5.055360427123704e-06,0.5516637478108581,0.038307269291594816,0.9694426949854192
8,ret_fwd_12,571,0.00016388665716368786,0.5866900175131349,0.9160538927670664,0.3596386291158109
