score,horizon,n,mean_ret,hit_rate,t_stat,p_val_raw
0,ret_fwd_3,17155,-6.289549756401859e-06,0.5081317400174876,-0.25564857102827443,0.7982222100355301
0,ret_fwd_6,17153,-1.4185191182907842e-05,0.5130297907071649,-0.33953788776003296,0.7342045601185017
0,ret_fwd_12,17149,-2.316625837962582e-05,0.5053355880809377,-0.3234167701344378,0.7463796306846964
1,ret_fwd_3,34076,7.487964892870657e-06,0.5171968540908557,0.4733203261485528,0.6359846627591659
1,ret_fwd_6,34075,2.1422843320815984e-05,0.5153044754218635,0.7800283260965429,0.43537420233028323
1,ret_fwd_12,34073,5.308254270626469e-05,0.5162151850438764,1.1434299710470106,0.2528601146780306
2,ret_fwd_3,24278,5.743060054654865e-05,0.5208419144904852,2.887661856382373,0.003881168639713964
2,ret_fwd_6,24278,8.876632993523477e-05,0.5301919433231732,2.979564792344804,0.0028865817583796738
2,ret_fwd_12,24278,0.00016121912047921744,0.5374001153307522,3.1735703980753214,0.0015057638100133188
3,ret_fwd_3,10617,9.038256343827175e-05,0.527550155411133,3.0840133570886152,0.0020422842602214565
3,ret_fwd_6,10617,0.0001621799469240556,0.5426203258924367,3.4569030288996334,0.0005464214390092851
3,ret_fwd_12,10617,0.00025833446793649265,0.5559951021945936,3.5852336067593984,0.0003367766141792312
4,ret_fwd_3,4086,6.386321243418799e-05,0.5230053842388644,1.551666786032665,0.12074197387137231
4,ret_fwd_6,4086,0.0001006467097318959,0.5359765051395007,1.49767130820842,0.13421866986571107
4,ret_fwd_12,4086,0.00016471495758136638,0.5523739598629467,1.6342420483425082,0.10220803667507342
5,ret_fwd_3,1448,-0.00021154566118427245,0.5227900552486188,-1.066529383567801,0.2861844032293327
5,ret_fwd_6,1448,-8.865925058590614e-05,0.5276243093922652,-0.5140786820827181,0.6071969811672648
5,ret_fwd_12,1448,0.00011924667587147469,0.544889502762431,0.8228040272302191,0.4106194461501639
6,ret_fwd_3,522,-0.00026366044803346724,0.5383141762452107,-1.0220792379901085,0.30674339886905
6,ret_fwd_6,522,-0.00019699892913124998,0.5383141762452107,-0.6818426561987142,0.49533844846244157
6,ret_fwd_12,522,9.568533689087693e-05,0.5555555555555556,0.31050592717272424,0.7561762528518063
7,ret_fwd_3,185,0.0001991025791282183,0.5513513513513514,1.5104591670290615,0.13092630102110947
7,ret_fwd_6,185,0.00028291456882319893,0.5297297297297298,1.2858021323344822,0.19851212586645917
7,ret_fwd_12,185,0.0006003678743149173,0.6,2.30693688026629,0.02105833915555429
8,ret_fwd_3,42,0.0002646291275433942,0.6428571428571429,3.223835891836647,0.0012648586301788579
8,ret_fwd_6,42,0.00044435899908285535,0.6904761904761905,4.26967542790859,1.95757628662623e-05
8,ret_fwd_12,42,0.0006338852174463843,0.7857142857142857,2.0045786648385415,0.04500810938968113
