bar_close,direction,followed_through,lag_bars
2020-11-25 11:15:00+05:30,-1,True,4.0
2020-11-26 12:30:00+05:30,1,False,
2020-11-26 14:15:00+05:30,-1,True,4.0
2020-11-27 12:15:00+05:30,1,False,
2020-12-02 10:45:00+05:30,-1,True,4.0
2020-12-03 09:30:00+05:30,1,False,
2020-12-03 13:30:00+05:30,-1,True,4.0
2020-12-04 09:45:00+05:30,1,False,
2020-12-04 13:00:00+05:30,-1,True,4.0
2020-12-04 15:00:00+05:30,1,False,
2020-12-08 12:00:00+05:30,-1,True,4.0
2020-12-09 09:45:00+05:30,1,False,
2020-12-10 09:45:00+05:30,-1,True,4.0
2020-12-11 09:45:00+05:30,1,False,
2020-12-11 14:00:00+05:30,-1,True,4.0
2020-12-14 10:30:00+05:30,1,False,
2020-12-14 11:15:00+05:30,-1,True,4.0
2020-12-15 14:15:00+05:30,1,False,
2020-12-18 09:30:00+05:30,-1,True,4.0
2020-12-18 15:15:00+05:30,1,False,
2020-12-21 09:30:00+05:30,-1,True,4.0
2020-12-22 10:30:00+05:30,1,False,
2020-12-22 14:30:00+05:30,-1,True,4.0
2020-12-24 11:45:00+05:30,1,False,
2020-12-29 11:45:00+05:30,-1,True,4.0
2020-12-31 09:45:00+05:30,1,False,
2020-12-31 11:45:00+05:30,-1,True,4.0
2021-01-01 11:00:00+05:30,1,False,
2021-01-01 11:45:00+05:30,-1,True,4.0
2021-01-04 10:00:00+05:30,1,False,
2021-01-04 11:30:00+05:30,-1,True,4.0
2021-01-04 13:45:00+05:30,1,False,
2021-01-05 10:15:00+05:30,-1,True,4.0
2021-01-05 12:15:00+05:30,1,False,
2021-01-06 12:45:00+05:30,-1,True,4.0
2021-01-07 11:00:00+05:30,1,False,
2021-01-07 11:15:00+05:30,-1,True,4.0
2021-01-08 10:30:00+05:30,1,False,
2021-01-12 11:00:00+05:30,-1,True,4.0
2021-01-12 12:45:00+05:30,1,False,
2021-01-13 11:45:00+05:30,-1,True,4.0
2021-01-18 11:15:00+05:30,1,False,
2021-01-19 10:15:00+05:30,-1,False,
2021-01-20 10:30:00+05:30,1,True,4.0
2021-01-21 14:45:00+05:30,-1,True,3.0
2021-01-22 15:30:00+05:30,1,False,
2021-01-28 15:00:00+05:30,-1,False,
2021-02-01 10:00:00+05:30,1,False,
2021-02-01 10:30:00+05:30,-1,False,
2021-02-02 11:15:00+05:30,1,False,
2021-02-03 15:00:00+05:30,-1,False,
2021-02-08 10:15:00+05:30,1,False,
2021-02-08 13:00:00+05:30,-1,False,
2021-02-09 11:45:00+05:30,1,False,
2021-02-09 13:00:00+05:30,-1,False,
2021-02-11 10:30:00+05:30,1,False,
2021-02-11 11:45:00+05:30,-1,False,
2021-02-11 15:30:00+05:30,1,False,
2021-02-12 13:45:00+05:30,-1,True,1.0
2021-02-15 10:00:00+05:30,1,True,2.0
2021-02-15 15:00:00+05:30,-1,False,
2021-02-15 15:30:00+05:30,1,False,
2021-02-16 12:30:00+05:30,-1,True,3.0
2021-02-18 13:00:00+05:30,1,False,
