group,horizon,n_5m,n_htf,mean_ret,hit_rate,t_stat,p_val_raw
bull_accel,ret_fwd_3,3650,966,-3.284567683496495e-05,0.5273972602739726,-0.3273839685271745,0.7433774902518198
bull_accel,ret_fwd_6,3650,966,6.34499753406169e-05,0.5506849315068493,0.5507389612719982,0.5818126321522626
bull_accel,ret_fwd_12,3650,966,0.00034900095204830984,0.5873972602739727,2.5219746049269554,0.011669813269908607
bull_decel,ret_fwd_3,5469,1253,-3.467575738902316e-05,0.4975315414152496,-0.7145922811447724,0.47486101572543526
bull_decel,ret_fwd_6,5469,1253,1.77216149662119e-05,0.5061254342658621,0.23533321873048652,0.8139501141787396
bull_decel,ret_fwd_12,5469,1253,0.00016867327264455948,0.5174620588773085,1.6753563241734903,0.09386434053917117
bear_decel,ret_fwd_3,5046,1237,1.0226808249791333e-05,0.5077288941736029,0.21301424636963104,0.831315850692093
bear_decel,ret_fwd_6,5046,1237,4.428894198766128e-05,0.4976218787158145,0.6052437383505801,0.5450170580222042
bear_decel,ret_fwd_12,5046,1237,6.072243362332296e-06,0.4982164090368609,0.0453944879561304,0.9637928744341959
bear_accel,ret_fwd_3,8436,1692,-2.679498399816707e-07,0.5028449502133713,-0.00942949663253994,0.9924764617139968
bear_accel,ret_fwd_6,8436,1692,-6.006334262530936e-06,0.5039118065433855,-0.11056290916536568,0.9119629613006839
bear_accel,ret_fwd_12,8436,1692,-2.8327404042983958e-05,0.500592697961119,-0.33823883357975015,0.7351832136207972
unconditional,ret_fwd_3,23370,5148,-6.02857270108233e-06,0.5075310226786478,-0.2368283408382014,0.8127899641022641
unconditional,ret_fwd_6,23370,5148,3.1490978985167176e-05,0.5120667522464698,0.8329121430659797,0.4048942806777516
unconditional,ret_fwd_12,23370,5148,0.00011175013283688557,0.5214377406931964,2.0217463033736673,0.04320256766093787
